#{"t_start": 1525584647.2055318, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t,i
396.0,1474,15.260134,1473
396.0,1539,26.507648,3012
264.0,1113,34.684474,4125
396.0,1136,42.975468,5261
396.0,1111,51.033303,6372
308.0,1099,58.972309,7471
528.0,1504,70.049685,8975
440.0,1030,77.568063,10005
264.0,961,84.721109,10966
352.0,1293,94.189327,12259
176.0,969,101.224286,13228
440.0,1510,112.373253,14738
660.0,1945,126.515003,16683
132.0,1072,134.446347,17755
528.0,1292,143.963577,19047
616.0,1611,155.81227,20658
220.0,1224,164.801511,21882
308.0,1147,173.272636,23029
264.0,1074,181.057282,24103
264.0,1074,188.794996,25177
264.0,946,195.756499,26123
220.0,1040,203.372798,27163
352.0,1464,213.998054,28627
176.0,1079,222.122697,29706
264.0,1305,231.698455,31011
572.0,1673,243.799485,32684
528.0,1439,254.342015,34123
308.0,1246,263.359518,35369
220.0,1359,273.297207,36728
308.0,1210,282.073009,37938
572.0,1553,293.248252,39491
528.0,1346,303.096857,40837
308.0,1083,311.174889,41920
396.0,972,318.163238,42892
572.0,1877,331.905193,44769
440.0,1450,342.461814,46219
440.0,1793,355.603251,48012
264.0,948,362.478848,48960
308.0,1148,370.82633,50108
528.0,1700,383.123349,51808
176.0,925,389.829707,52733
616.0,1472,400.572135,54205
396.0,1130,408.776581,55335
396.0,1474,419.552443,56809
528.0,1301,428.981602,58110
484.0,1284,438.448981,59394
352.0,1616,450.312877,61010
528.0,1578,461.812963,62588
616.0,1507,472.858157,64095
484.0,1278,482.312812,65373
528.0,1247,491.5314,66620
528.0,1496,502.486239,68116
396.0,1539,513.869878,69655
660.0,1765,526.818887,71420
484.0,1561,538.301656,72981
484.0,1545,549.718716,74526
572.0,1423,560.229949,75949
352.0,1255,569.370021,77204
484.0,1377,579.546515,78581
708.0,2095,594.80888,80676
264.0,1057,602.468227,81733
308.0,1330,612.315276,83063
264.0,995,619.612504,84058
264.0,1287,629.014703,85345
440.0,1325,638.715595,86670
220.0,1504,649.645383,88174
132.0,1144,658.047389,89318
616.0,2074,673.153856,91392
264.0,1181,681.824367,92573
396.0,1319,691.56279,93892
440.0,1163,700.189942,95055
132.0,983,707.464453,96038
484.0,1203,716.343658,97241
528.0,1761,729.340849,99002
484.0,1329,738.984415,100331
220.0,1128,747.26547,101459
660.0,1942,761.691026,103401
308.0,1114,769.974539,104515
616.0,1898,783.835853,106413
616.0,2031,798.67056,108444
660.0,2030,813.602149,110474
660.0,1952,828.174072,112426
220.0,946,835.257116,113372
484.0,1206,844.131882,114578
756.0,2526,862.872629,117104
352.0,1158,871.564055,118262
132.0,766,877.27088,119028
484.0,1386,887.550735,120414
220.0,1097,895.593682,121511
176.0,1160,904.019593,122671
264.0,1348,913.982323,124019
220.0,1170,922.603561,125189
308.0,1069,930.372005,126258
852.0,2263,947.037754,128521
220.0,1120,955.177566,129641
572.0,1247,964.177576,130888
396.0,1206,973.004446,132094
352.0,1232,982.039057,133326
308.0,1006,989.346049,134332
804.0,1486,1000.259946,135818
440.0,1508,1011.391899,137326
804.0,1961,1025.855355,139287
616.0,2179,1041.770089,141466
396.0,1263,1050.991318,142729
176.0,831,1056.966252,143560
264.0,987,1064.188844,144547
572.0,1478,1075.125364,146025
440.0,1511,1086.288825,147536
308.0,1353,1096.249787,148889
396.0,1349,1106.170779,150238
572.0,1617,1118.149295,151855
572.0,1409,1128.492334,153264
440.0,1822,1141.74815,155086
616.0,1754,1154.671335,156840
220.0,987,1161.906034,157827
804.0,1954,1176.14602,159781
352.0,959,1183.219374,160740
308.0,1119,1191.416043,161859
572.0,1495,1202.446246,163354
176.0,1035,1209.963156,164389
572.0,1906,1224.127833,166295
660.0,2051,1239.373205,168346
852.0,1852,1253.103677,170198
308.0,925,1259.837265,171123
660.0,1784,1272.93254,172907
440.0,1305,1282.334652,174212
484.0,1329,1291.975778,175541
660.0,1639,1303.853151,177180
352.0,1111,1311.823285,178291
176.0,836,1317.948048,179127
220.0,983,1325.120323,180110
572.0,1800,1338.24245,181910
660.0,1916,1352.246405,183826
440.0,1416,1362.737272,185242
440.0,1296,1372.230823,186538
440.0,1319,1382.058167,187857
900.0,2285,1398.701302,190142
528.0,1308,1408.174225,191450
396.0,1210,1416.99777,192660
572.0,1303,1426.50005,193963
220.0,998,1433.826252,194961
660.0,1592,1445.534542,196553
264.0,1429,1455.894649,197982
528.0,1425,1466.352347,199407
396.0,915,1473.094833,200322
996.0,1868,1486.911532,202190
176.0,714,1492.122055,202904
396.0,1123,1500.353618,204027
756.0,1846,1514.118942,205873
708.0,2181,1530.198546,208054
308.0,933,1537.183205,208987
616.0,1979,1551.452291,210966
396.0,1651,1563.645684,212617
660.0,1764,1576.66465,214381
440.0,1316,1586.27389,215697
352.0,1132,1594.512084,216829
484.0,1507,1605.678855,218336
660.0,1672,1618.036832,220008
308.0,1198,1626.968256,221206
352.0,1125,1635.207765,222331
440.0,1096,1643.304655,223427
708.0,2020,1658.192431,225447
264.0,815,1664.198919,226262
528.0,1177,1672.920608,227439
484.0,1404,1683.288768,228843
264.0,1122,1691.305734,229965
220.0,973,1698.340165,230938
