#{"t_start": 1525584647.0850296, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t,i
528.0,1448,15.205426,1447
616.0,1930,29.262999,3377
440.0,1565,40.784672,4942
660.0,1821,54.052194,6763
264.0,1012,61.370866,7775
308.0,1400,71.712961,9175
484.0,1741,84.541428,10916
660.0,1807,97.749938,12723
176.0,962,104.883351,13685
176.0,843,110.983948,14528
528.0,1575,122.416331,16103
176.0,1260,131.683991,17363
264.0,1093,139.775841,18456
528.0,1343,149.672631,19799
308.0,846,155.839051,20645
440.0,1182,164.489787,21827
440.0,1433,175.101293,23260
352.0,1796,188.097447,25056
264.0,1167,196.632669,26223
220.0,928,203.453097,27151
396.0,1234,212.433393,28385
756.0,2334,229.764019,30719
308.0,1037,237.353506,31756
308.0,923,243.947916,32679
176.0,962,251.026021,33641
264.0,1004,258.279757,34645
308.0,1210,267.083766,35855
308.0,1215,275.934188,37070
308.0,1550,287.104837,38620
176.0,981,294.137597,39601
132.0,894,300.636261,40495
396.0,1435,311.342671,41930
572.0,1461,321.887944,43391
440.0,1364,331.887067,44755
756.0,2487,350.05941,47242
528.0,1659,362.160134,48901
264.0,893,368.682656,49794
484.0,1444,379.171861,51238
484.0,1567,390.506994,52805
900.0,2062,405.531723,54867
528.0,1056,413.263433,55923
220.0,894,419.787741,56817
708.0,2079,434.947123,58896
264.0,986,442.252495,59882
352.0,1306,451.770605,61188
220.0,1068,459.506089,62256
616.0,1943,473.817873,64199
308.0,1215,482.778301,65414
396.0,1828,496.265796,67242
528.0,1686,508.638354,68928
572.0,1891,522.673785,70819
176.0,1069,530.478398,71888
352.0,1177,539.11181,73065
440.0,1456,549.825526,74521
440.0,1471,560.66363,75992
440.0,1341,570.47072,77333
572.0,1713,583.079903,79046
440.0,1598,594.695085,80644
572.0,1439,605.24377,82083
616.0,1781,618.385449,83864
264.0,1354,628.228218,85218
528.0,1246,637.382591,86464
528.0,1307,646.90123,87771
220.0,1040,654.502389,88811
528.0,1533,665.707044,90344
396.0,1365,675.656202,91709
440.0,1131,683.906198,92840
528.0,1908,697.976827,94748
352.0,1249,707.33241,95997
660.0,1711,719.996964,97708
396.0,1422,730.456598,99130
220.0,1100,738.426065,100230
396.0,1065,746.277855,101295
616.0,1242,755.483709,102537
484.0,1552,766.976192,104089
396.0,1511,778.051348,105600
484.0,1327,787.758124,106927
396.0,1077,795.635779,108004
308.0,991,802.853191,108995
396.0,1303,812.324301,110298
308.0,1063,820.319322,111361
528.0,1547,831.818381,112908
264.0,1415,842.305957,114323
660.0,2020,857.285988,116343
484.0,1792,870.691318,118135
352.0,1361,880.886131,119496
352.0,1167,889.529209,120663
440.0,1454,900.130486,122117
572.0,2104,915.628445,124221
440.0,1345,925.498172,125566
396.0,1000,932.816823,126566
352.0,1127,941.073777,127693
176.0,975,948.208147,128668
616.0,1386,958.226292,130054
440.0,1279,967.578991,131333
396.0,1137,975.818425,132470
660.0,1849,989.363628,134319
616.0,1628,1001.33193,135947
572.0,1466,1012.154258,137413
220.0,1045,1019.804775,138458
660.0,2038,1034.836607,140496
352.0,1423,1045.181417,141919
396.0,1380,1055.204548,143299
440.0,1271,1064.4791,144570
484.0,1291,1074.075077,145861
484.0,1439,1084.665928,147300
308.0,1120,1092.907534,148420
708.0,1708,1105.539333,150128
660.0,2634,1124.945979,152762
352.0,1325,1134.661103,154087
708.0,2263,1151.203897,156350
308.0,1117,1159.382982,157467
176.0,900,1166.023422,158367
396.0,1182,1174.599963,159549
176.0,1158,1183.101631,160707
176.0,932,1189.908145,161639
484.0,1558,1201.397911,163197
528.0,1275,1210.753857,164472
220.0,1070,1218.615242,165542
308.0,1011,1226.100322,166553
396.0,1372,1236.35,167925
616.0,1769,1249.33231,169694
264.0,973,1256.596122,170667
132.0,911,1263.174385,171578
484.0,1448,1273.823514,173026
396.0,1115,1281.840228,174141
264.0,1133,1290.080648,175274
572.0,1283,1299.395566,176557
440.0,1560,1310.661656,178117
484.0,1205,1319.368061,179322
484.0,1374,1329.399606,180696
440.0,1252,1338.556042,181948
176.0,944,1345.391103,182892
572.0,1220,1354.349927,184112
572.0,1548,1365.835186,185660
