explained_variance,fps,value_loss,nupdates,total_timesteps,policy_entropy
-1.378990650177002,24,0.0009837683755904436,1,20,2.197223663330078
-1.3402864933013916,457,0.004541109316051006,100,2000,2.19722318649292
0.35070186853408813,489,0.002158065792173147,200,4000,2.197221040725708
-2.248405933380127,501,0.009462383575737476,300,6000,2.1971371173858643
-0.896342396736145,514,0.00497081782668829,400,8000,2.197207450866699
-15.418052673339844,518,0.0010967825073748827,500,10000,2.1971945762634277
0.21438384056091309,522,0.0020185341127216816,600,12000,2.1971259117126465
-8.420090675354004,526,0.0018366907024756074,700,14000,2.1970202922821045
0.08185684680938721,527,0.12974180281162262,800,16000,2.1967549324035645
-0.05450248718261719,529,0.009731206111609936,900,18000,2.196331739425659
-1.1773152351379395,531,0.0017855113837867975,1000,20000,2.1953892707824707
-7.8640031814575195,531,0.000600199680775404,1100,22000,2.195070743560791
-0.029730796813964844,532,0.001261957106180489,1200,24000,2.191300868988037
-0.041648149490356445,534,0.0018749472219496965,1300,26000,2.1933631896972656
0.01659715175628662,535,0.00032733712578192353,1400,28000,2.1949925422668457
0.1428213119506836,535,0.000788533128798008,1500,30000,2.195369243621826
0.01597970724105835,536,0.05969953536987305,1600,32000,2.1942009925842285
0.7291253209114075,536,0.0021148626692593098,1700,34000,2.196002960205078
0.09307008981704712,536,0.0014768500113859773,1800,36000,2.1956822872161865
-0.7431248426437378,537,0.00319337984547019,1900,38000,2.194516658782959
-6.488592147827148,537,0.0008989659836515784,2000,40000,2.195638656616211
0.8040813356637955,537,0.0003116563893854618,2100,42000,2.194261074066162
-4.402384281158447,537,0.0006761481054127216,2200,44000,2.1881086826324463
0.7421649396419525,537,0.0007465517846867442,2300,46000,2.1866087913513184
0.10041695833206177,537,0.043754901736974716,2400,48000,2.1876473426818848
0.6338090002536774,538,0.0011005362030118704,2500,50000,2.1919562816619873
-2.2194693088531494,538,0.0014714516000822186,2600,52000,2.1937897205352783
-0.07436501979827881,538,0.024429798126220703,2700,54000,2.187839984893799
0.5060679018497467,537,0.0012680229265242815,2800,56000,2.190001964569092
0.0776858925819397,538,0.040632739663124084,2900,58000,2.1901912689208984
0.6906079053878784,538,0.0008487544255331159,3000,60000,2.1895625591278076
0.9433608762919903,538,0.0015452851075679064,3100,62000,2.1920251846313477
0.8970027565956116,539,0.001983946654945612,3200,64000,2.191124439239502
0.3138134479522705,539,0.000911558629013598,3300,66000,2.192783832550049
0.7404058277606964,539,0.0007822940242476761,3400,68000,2.1944994926452637
0.8536505401134491,539,0.0002617909631226212,3500,70000,2.1940484046936035
0.8238852620124817,539,0.0026954971253871918,3600,72000,2.194114923477173
0.25801002979278564,539,0.0006476650014519691,3700,74000,2.1939148902893066
0.9571642130613327,539,0.001019839895889163,3800,76000,2.194826602935791
-0.033130526542663574,539,0.032857514917850494,3900,78000,2.1897871494293213
0.8799944072961807,539,0.002913055010139942,4000,80000,2.1948752403259277
0.7175529301166534,539,0.0009711951133795083,4100,82000,2.19547963142395
0.7122541666030884,539,0.0005320074269548059,4200,84000,2.1928389072418213
0.0029751062393188477,539,0.0006884312024340034,4300,86000,2.1938633918762207
0.7101866900920868,539,0.0022104508243501186,4400,88000,2.1888327598571777
0.035621583461761475,539,0.04779462143778801,4500,90000,2.192181348800659
-0.7367476224899292,539,0.001816574833355844,4600,92000,2.1943116188049316
0.1728055477142334,539,0.001161777414381504,4700,94000,2.1951992511749268
0.5334107577800751,539,0.0027409957256168127,4800,96000,2.1940882205963135
0.8281545788049698,540,0.0038302061147987843,4900,98000,2.1939175128936768
0.9003553315997124,540,0.0011128905462101102,5000,100000,2.195777416229248
0.35241490602493286,540,0.0011623597238212824,5100,102000,2.19553279876709
0.25270283222198486,540,0.002175796078518033,5200,104000,2.1957335472106934
0.8267062604427338,540,0.0004726545012090355,5300,106000,2.19511079788208
0.30455517768859863,540,0.0008919855463318527,5400,108000,2.1954262256622314
-11.359265327453613,540,0.0020743864588439465,5500,110000,2.19366192817688
0.9741545040160418,540,0.0005759770865552127,5600,112000,2.195289134979248
0.8904112800955772,540,0.0008099444094114006,5700,114000,2.1930456161499023
0.7111844122409821,540,0.0012513566762208939,5800,116000,2.19348406791687
0.9413245506584644,540,0.0020815441384911537,5900,118000,2.193481922149658
0.15767902135849,540,0.047075312584638596,6000,120000,2.1907999515533447
0.915226548910141,540,0.0007980430382303894,6100,122000,2.191570281982422
0.852556437253952,540,0.0033832532353699207,6200,124000,2.1925926208496094
-0.14056015014648438,540,0.0011467329459264874,6300,126000,2.1897947788238525
0.8152638524770737,540,0.0010194790083914995,6400,128000,2.1894097328186035
0.7098854184150696,540,0.0005399459623731673,6500,130000,2.1915411949157715
0.32158398628234863,540,0.0012215496972203255,6600,132000,2.191157102584839
-0.6107323169708252,540,0.006653196178376675,6700,134000,2.1859021186828613
0.9955508494749665,540,0.0002117496042046696,6800,136000,2.1943278312683105
0.648497998714447,541,0.001059911446645856,6900,138000,2.1932997703552246
0.9529713541269302,541,0.0006749502499587834,7000,140000,2.1943137645721436
0.7408459186553955,541,0.0008656894788146019,7100,142000,2.192779064178467
-0.4310969114303589,541,0.0011160376016050577,7200,144000,2.1896190643310547
0.9717871360480785,541,0.0005838741199113429,7300,146000,2.1898529529571533
0.67770716547966,541,0.001128489151597023,7400,148000,2.189692974090576
0.9680091962218285,541,0.000811455596704036,7500,150000,2.1927857398986816
0.7495611310005188,541,0.0008192315581254661,7600,152000,2.1905505657196045
0.888456828892231,541,0.000694028683938086,7700,154000,2.193619728088379
0.9739857409149408,541,0.0006659348728135228,7800,156000,2.1893115043640137
0.9642100818455219,542,0.0029646859038621187,7900,158000,2.1868515014648438
0.7446011006832123,542,0.001981168519705534,8000,160000,2.1879758834838867
0.9374194666743279,541,0.003136769402772188,8100,162000,2.1875433921813965
0.6950799524784088,541,0.002188742160797119,8200,164000,2.183720588684082
0.22894835472106934,541,0.053881943225860596,8300,166000,2.1881701946258545
0.9426246993243694,541,0.0003989283577539027,8400,168000,2.1913633346557617
0.38059312105178833,541,0.20797976851463318,8500,170000,2.188472032546997
0.8974789008498192,541,0.005354052875190973,8600,172000,2.1823952198028564
0.8923916518688202,542,0.0008148010820150375,8700,174000,2.1831107139587402
0.9877029890194535,542,0.0004049004928674549,8800,176000,2.1792826652526855
0.7255095541477203,542,0.003262842074036598,8900,178000,2.176741600036621
0.15905487537384033,542,0.07474204897880554,9000,180000,2.1802430152893066
0.5304335355758667,542,0.0009139378671534359,9100,182000,2.1863231658935547
0.9816948585212231,542,0.0001778472651494667,9200,184000,2.1848044395446777
0.8381455540657043,542,0.0008181502926163375,9300,186000,2.178269624710083
0.14421308040618896,542,0.0017443858087062836,9400,188000,2.181000232696533
0.8556776195764542,542,0.0015703350072726607,9500,190000,2.1895318031311035
0.9445514157414436,542,0.0005810214788652956,9600,192000,2.184870481491089
0.7168220579624176,542,0.0007435958832502365,9700,194000,2.1844868659973145
0.37658095359802246,542,0.09863694757223129,9800,196000,2.179389476776123
0.8801064416766167,542,0.0011112552601844072,9900,198000,2.186147928237915
0.9561080597341061,542,0.0018517512362450361,10000,200000,2.1848526000976562
0.9597110077738762,542,0.0015006184112280607,10100,202000,2.1917288303375244
0.9207194149494171,542,0.0008502643322572112,10200,204000,2.1920876502990723
0.9837972819805145,542,0.00048057627282105386,10300,206000,2.1920273303985596
0.8722893446683884,542,0.0037411705125123262,10400,208000,2.187880754470825
0.6948744356632233,542,0.00052511045942083,10500,210000,2.1885929107666016
0.9512689113616943,542,0.0004912656149826944,10600,212000,2.188599109649658
0.5625963509082794,542,0.01165391318500042,10700,214000,2.1798458099365234
0.32822734117507935,542,0.002698986092582345,10800,216000,2.182143449783325
0.9453333094716072,542,0.0031513303983956575,10900,218000,2.177961826324463
0.9732681438326836,542,0.002919661346822977,11000,220000,2.1834826469421387
0.8928780853748322,542,0.0008531607454642653,11100,222000,2.1740589141845703
0.5217761695384979,542,0.046555839478969574,11200,224000,2.1780142784118652
0.9394013322889805,542,0.0007920198841020465,11300,226000,2.183708667755127
0.35248249769210815,542,0.04631216824054718,11400,228000,2.179595947265625
0.8424469530582428,542,0.0014607228804379702,11500,230000,2.186638116836548
-0.151037335395813,543,0.04740212485194206,11600,232000,2.1811704635620117
0.9145987257361412,542,0.00047007057582959533,11700,234000,2.189525842666626
0.6563509702682495,542,0.0016414771089330316,11800,236000,2.1894452571868896
0.9739691000431776,542,0.0008483651326969266,11900,238000,2.1870474815368652
0.8503490388393402,542,0.0009466320043429732,12000,240000,2.1841230392456055
0.8689830303192139,542,0.0019494716543704271,12100,242000,2.185978651046753
0.9704712424427271,542,0.0021308190189301968,12200,244000,2.1784005165100098
0.8367101848125458,542,0.0007959171198308468,12300,246000,2.1848366260528564
0.9615550115704536,542,0.0009523996850475669,12400,248000,2.1804356575012207
0.44651609659194946,542,0.16409659385681152,12500,250000,2.1752994060516357
0.7012934386730194,542,0.022155718877911568,12600,252000,2.181354522705078
0.7851893156766891,542,0.0011277167359367013,12700,254000,2.1702258586883545
0.7471641898155212,542,0.0037466734647750854,12800,256000,2.1577529907226562
0.31987690925598145,542,0.08463629335165024,12900,258000,2.173145294189453
0.981360848993063,542,0.0008148837951011956,13000,260000,2.1764934062957764
0.9441286437213421,542,0.0005966075696051121,13100,262000,2.181596040725708
0.20143628120422363,542,0.0013926163082942367,13200,264000,2.1803317070007324
0.711498498916626,542,0.0011944696307182312,13300,266000,2.1754302978515625
0.946829728782177,542,0.0009966582292690873,13400,268000,2.1789867877960205
0.689637690782547,542,0.0010562449460849166,13500,270000,2.1847169399261475
0.9854537453502417,542,0.0007113688043318689,13600,272000,2.1883544921875
0.9877862082794309,542,0.0009568872628733516,13700,274000,2.18812894821167
0.8611180931329727,542,0.001063313684426248,13800,276000,2.184034824371338
0.9192643538117409,542,0.0022972156293690205,13900,278000,2.1757161617279053
0.8012475818395615,542,0.006483600940555334,14000,280000,2.163179397583008
0.9165411964058876,542,0.0017644992331042886,14100,282000,2.178830623626709
