#{"t_start": 1525402155.9014006, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t
40.0,404,6.303978
60.0,371,8.193009
50.0,390,10.213277
50.0,326,11.858053
20.0,314,13.48586
20.0,323,15.187705
20.0,276,16.551616
90.0,401,18.651449
70.0,435,20.907126
140.0,439,23.16795
120.0,469,25.546369
80.0,475,28.067726
80.0,389,30.53182
100.0,469,34.558969
10.0,281,36.413591
40.0,309,38.597187
80.0,378,41.330136
90.0,396,44.138846
60.0,399,46.905983
50.0,337,49.310997
70.0,317,51.563503
80.0,425,54.602371
90.0,479,57.984976
30.0,321,60.267285
110.0,528,63.923824
110.0,480,67.286242
70.0,377,69.904362
120.0,460,73.196113
80.0,328,75.514477
90.0,374,78.163632
130.0,506,81.785665
80.0,403,84.619779
90.0,537,88.396277
60.0,332,90.774213
90.0,408,93.698765
80.0,458,96.965309
30.0,291,99.005521
70.0,373,101.674447
110.0,508,105.228923
100.0,410,108.188598
50.0,376,110.788205
80.0,385,113.508285
50.0,316,115.80114
70.0,497,119.364854
90.0,433,122.441798
150.0,545,126.311982
60.0,350,128.786507
90.0,383,131.499576
130.0,435,134.602308
70.0,513,138.242346
160.0,459,141.56212
100.0,381,144.176967
160.0,550,148.021354
60.0,460,151.283235
100.0,455,154.492334
110.0,393,157.276562
70.0,599,161.526775
70.0,366,164.100471
50.0,385,166.792027
40.0,308,168.94504
120.0,420,171.964343
80.0,380,174.642558
150.0,491,178.180371
50.0,460,181.370044
120.0,506,184.93022
50.0,306,187.118941
30.0,365,189.731942
130.0,472,193.125371
70.0,395,195.859823
60.0,444,199.005971
120.0,498,202.488062
130.0,463,205.855583
110.0,461,209.141757
70.0,344,211.600534
80.0,398,214.447149
120.0,380,217.187758
70.0,431,220.138001
60.0,437,223.241044
80.0,368,225.836267
40.0,333,228.23396
50.0,375,230.972333
60.0,393,233.71028
140.0,468,237.053041
100.0,463,240.381845
140.0,445,243.539707
90.0,405,246.43059
50.0,338,248.785616
60.0,292,250.753706
120.0,474,254.147952
50.0,377,256.85184
160.0,466,260.225215
100.0,460,263.590218
70.0,412,266.534573
140.0,400,269.345114
100.0,418,272.334637
80.0,447,275.480076
90.0,378,278.121993
110.0,415,281.047714
140.0,424,284.149053
40.0,377,286.839946
90.0,433,289.887609
60.0,363,292.459432
90.0,451,295.711729
40.0,282,297.623495
60.0,367,300.220901
160.0,429,303.275056
60.0,350,305.779992
