nupdates,policy_entropy,total_timesteps,fps,explained_variance,value_loss
1,2.8903541564941406,20,26,-11047.775390625,0.05078504607081413
100,2.8903446197509766,2000,582,0.9774641562253237,0.00010259856935590506
200,2.890319347381592,4000,645,0.9902211800217628,3.855356408166699e-05
300,2.89025616645813,6000,667,-0.568519115447998,0.001435894868336618
400,2.8900859355926514,8000,682,0.9220076724886894,0.00021770314197055995
500,2.8893847465515137,10000,692,0.8310585618019104,0.0007167399162426591
600,2.8885016441345215,12000,699,-0.25246965885162354,0.0036517686676234007
700,2.8824992179870605,14000,705,0.21006345748901367,0.08070042729377747
800,2.8703408241271973,16000,711,0.45984238386154175,0.0834362581372261
900,2.8735311031341553,18000,713,0.6460447907447815,0.0009188862750306726
1000,2.8580684661865234,20000,717,0.8262288421392441,0.00646668765693903
1100,2.879570722579956,22000,719,0.9337155818939209,0.000754789391066879
1200,2.880585193634033,24000,720,0.5458571016788483,0.08115234225988388
1300,2.8885202407836914,26000,720,0.9021356925368309,0.0004152644833084196
1400,2.8702821731567383,28000,722,0.7904323637485504,0.0007116019842214882
1500,2.8750696182250977,30000,723,0.5566460490226746,0.036108605563640594
1600,2.8699867725372314,32000,724,0.9735236540436745,0.0022248427849262953
1700,2.880009889602661,34000,726,0.9989635059610009,1.063076160789933e-05
1800,2.8628203868865967,36000,727,0.9507746286690235,0.0030387521255761385
1900,2.8618266582489014,38000,728,0.9540185295045376,0.01017624419182539
2000,2.8697409629821777,40000,728,0.7565737515687943,0.09802448004484177
2100,2.865051031112671,42000,729,0.9708460215479136,0.0025086321402341127
2200,2.8750483989715576,44000,729,0.8758561238646507,0.004540315363556147
2300,2.881175994873047,46000,730,0.6602151095867157,0.0011621677549555898
2400,2.739837408065796,48000,730,0.5885566473007202,0.03115355409681797
2500,2.8798508644104004,50000,729,0.7976747155189514,0.023372849449515343
2600,2.8666069507598877,52000,730,0.3968232274055481,0.041490621864795685
2700,2.8721725940704346,54000,730,0.9301126003265381,0.0009481684537604451
2800,2.856224775314331,56000,731,0.9955107178539038,0.0004818025045096874
2900,2.830437421798706,58000,731,0.5932739675045013,0.05556139349937439
3000,2.8674778938293457,60000,731,-0.16186189651489258,0.1639823615550995
3100,2.8636653423309326,62000,731,0.34607547521591187,0.12823203206062317
3200,2.858241319656372,64000,731,0.7963037341833115,0.006632013712078333
3300,2.876199245452881,66000,732,0.9992672748630866,7.925915997475386e-05
3400,2.875462770462036,68000,732,0.5422320365905762,0.13604119420051575
