#{"t_start": 1525402155.9803066, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t
70.0,347,5.894504
110.0,388,7.868634
140.0,476,10.380644
30.0,327,12.069064
50.0,345,13.816024
120.0,452,16.174664
10.0,278,17.587383
90.0,391,19.606759
80.0,409,21.757707
50.0,317,23.36486
100.0,503,25.962195
50.0,356,27.799022
60.0,373,30.093952
80.0,441,33.978652
70.0,469,37.144761
40.0,343,39.533564
160.0,495,43.180112
90.0,333,45.443139
100.0,498,49.0318
70.0,382,51.762229
90.0,338,54.176866
100.0,394,56.970261
50.0,337,59.352369
60.0,373,61.937185
90.0,506,65.468558
80.0,349,67.829631
100.0,442,70.974589
100.0,454,74.249913
30.0,370,76.78986
150.0,497,80.345562
60.0,446,83.505483
90.0,503,87.108656
70.0,419,90.039084
60.0,393,92.875179
160.0,596,97.146336
70.0,463,100.472889
60.0,319,102.711166
100.0,429,105.708549
110.0,443,108.899338
190.0,500,112.420179
90.0,397,115.276245
120.0,482,118.743341
40.0,417,121.710827
30.0,283,123.705518
30.0,295,125.722295
20.0,287,127.739343
0.0,257,129.550107
120.0,417,132.509001
140.0,502,136.110053
60.0,326,138.39072
60.0,412,141.348086
20.0,294,143.314114
40.0,354,145.788766
50.0,343,148.168037
100.0,394,150.918301
30.0,306,153.104847
160.0,526,156.787016
80.0,350,159.280673
130.0,405,162.117124
70.0,462,165.382269
30.0,290,167.419987
80.0,365,169.996368
160.0,491,173.513515
60.0,464,176.771522
40.0,407,179.694776
120.0,519,183.320675
160.0,520,187.039602
50.0,392,189.861123
60.0,315,192.074794
40.0,366,194.656891
40.0,347,197.049214
40.0,475,200.457771
50.0,350,202.850351
150.0,436,206.01978
90.0,419,208.958836
100.0,391,211.816188
90.0,402,214.684253
70.0,337,217.088775
120.0,403,219.860558
50.0,316,222.072467
70.0,434,225.146501
50.0,403,228.0556
110.0,488,231.641716
10.0,303,233.699976
50.0,326,236.025563
10.0,276,237.996029
130.0,470,241.345814
50.0,429,244.363699
60.0,332,246.712541
100.0,450,249.860122
110.0,530,253.632604
100.0,374,256.29683
90.0,464,259.653861
100.0,397,262.49561
70.0,408,265.42914
80.0,351,267.922182
