#{"t_start": 1525402155.9304774, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t
230.0,462,880.82863
200.0,450,883.952202
230.0,564,887.85931
220.0,474,891.206269
200.0,445,894.269598
200.0,439,897.239583
240.0,522,900.914254
230.0,449,904.018021
210.0,554,907.939417
200.0,455,911.189729
220.0,449,914.38123
190.0,419,917.264234
200.0,471,920.550953
220.0,525,924.317825
230.0,470,927.539672
190.0,391,930.253597
230.0,525,933.986994
210.0,488,937.541423
220.0,554,941.507902
200.0,488,944.970494
200.0,448,948.175708
200.0,457,951.470935
210.0,440,954.656255
200.0,501,958.213454
200.0,512,961.800366
200.0,427,964.859242
170.0,398,967.649344
220.0,517,971.401004
210.0,563,975.446926
170.0,425,978.483589
220.0,491,982.00298
200.0,483,985.375948
150.0,392,988.101085
250.0,542,991.89107
230.0,479,995.291101
210.0,520,999.053828
230.0,550,1002.929831
240.0,510,1006.546025
230.0,553,1010.451331
230.0,499,1013.96501
170.0,402,1016.85063
210.0,558,1020.831031
190.0,415,1023.770338
210.0,561,1027.69438
190.0,528,1031.46062
190.0,489,1034.92335
180.0,495,1038.441367
190.0,438,1041.487072
220.0,458,1044.724033
210.0,579,1048.86707
190.0,436,1051.880749
200.0,504,1055.476445
220.0,447,1058.699336
150.0,385,1061.44681
210.0,484,1064.911142
200.0,496,1068.423765
180.0,438,1071.459593
230.0,465,1074.740522
180.0,421,1077.751134
190.0,460,1080.999639
240.0,510,1084.706785
220.0,535,1088.427338
270.0,626,1092.849553
190.0,537,1096.729148
200.0,441,1099.874387
190.0,555,1103.79374
170.0,451,1107.065049
220.0,530,1110.944597
200.0,439,1114.082258
200.0,443,1117.254101
210.0,429,1120.382423
230.0,451,1123.663876
210.0,451,1126.956039
210.0,466,1130.303643
220.0,483,1133.676539
210.0,425,1136.690621
220.0,548,1140.637409
210.0,485,1144.097406
220.0,474,1147.539655
210.0,447,1150.781954
180.0,453,1153.92655
220.0,511,1157.640236
190.0,417,1160.748375
250.0,627,1165.188557
160.0,378,1167.926071
210.0,518,1171.710539
200.0,483,1175.16954
210.0,456,1178.515321
220.0,507,1182.036353
190.0,510,1185.655212
200.0,510,1189.242834
190.0,448,1192.530252
130.0,377,1195.227956
220.0,544,1199.054625
210.0,447,1202.276856
220.0,498,1205.882906
230.0,463,1209.162126
210.0,584,1213.261673
230.0,551,1217.061799
210.0,474,1220.419665
220.0,526,1224.181633
170.0,373,1226.874086
210.0,532,1230.654203
180.0,438,1233.783479
180.0,410,1236.642078
210.0,540,1240.41364
260.0,590,1244.716811
200.0,473,1248.027728
210.0,473,1251.394825
210.0,480,1254.807234
170.0,429,1257.832639
190.0,429,1260.881763
210.0,469,1264.162737
240.0,504,1267.799827
210.0,527,1271.599611
210.0,489,1275.147281
220.0,483,1278.552426
120.0,396,1281.335346
180.0,488,1284.842998
220.0,487,1288.340426
220.0,473,1291.803921
200.0,519,1295.526667
210.0,472,1298.976251
260.0,521,1302.643013
220.0,503,1306.213739
210.0,540,1310.04865
240.0,536,1313.905179
220.0,559,1317.899245
190.0,500,1321.418887
220.0,548,1325.374289
240.0,532,1329.290506
160.0,498,1332.813353
230.0,703,1337.898148
250.0,559,1341.961245
220.0,501,1345.572272
190.0,441,1348.65836
230.0,463,1352.038864
210.0,491,1355.480907
220.0,503,1359.026005
230.0,492,1362.554068
230.0,505,1366.201115
160.0,416,1369.127729
210.0,466,1372.509983
220.0,521,1376.124504
210.0,451,1379.333302
210.0,449,1382.545952
190.0,431,1385.473386
200.0,470,1388.768093
180.0,422,1391.706317
220.0,547,1395.612606
220.0,486,1399.125465
250.0,565,1403.149697
220.0,517,1406.933423
210.0,578,1411.000399
200.0,444,1414.118927
170.0,523,1417.862145
230.0,491,1421.393141
220.0,528,1425.2307
210.0,570,1429.382831
190.0,438,1432.539278
220.0,508,1436.151247
220.0,457,1439.33117
220.0,583,1443.548354
210.0,464,1446.835604
220.0,537,1450.610513
220.0,498,1454.224334
200.0,431,1457.328825
220.0,530,1461.15108
170.0,409,1464.068414
180.0,500,1467.603248
200.0,461,1470.897144
210.0,510,1474.581352
180.0,413,1477.523507
220.0,464,1480.845436
220.0,519,1484.59934
170.0,449,1487.767832
180.0,516,1491.587177
210.0,492,1495.131015
220.0,491,1498.629543
210.0,529,1502.425922
220.0,576,1506.572125
210.0,495,1510.086403
240.0,565,1514.169497
250.0,557,1518.007329
230.0,470,1521.417467
190.0,468,1524.703211
180.0,454,1527.935552
220.0,538,1531.771889
230.0,517,1535.512938
210.0,491,1538.957693
250.0,490,1542.511364
220.0,520,1546.286795
270.0,543,1550.148584
210.0,585,1554.398386
210.0,527,1558.123264
170.0,454,1561.311843
220.0,522,1565.019324
250.0,497,1568.515029
230.0,537,1572.35929
210.0,508,1576.061867
210.0,522,1579.782128
200.0,470,1583.124648
200.0,483,1586.582902
210.0,448,1589.792792
210.0,459,1593.098893
260.0,592,1597.365275
220.0,486,1600.811506
220.0,486,1604.274695
220.0,476,1607.621893
250.0,513,1611.277227
160.0,442,1614.284902
220.0,534,1618.05955
