total_timesteps,value_loss,nupdates,explained_variance,fps,policy_entropy
20,9.061423770617694e-05,1,-19.468183517456055,26,1.7878971099853516
2000,9.565550499246456e-06,100,0.2597898244857788,530,1.7825186252593994
4000,0.04836668819189072,200,0.0028051137924194336,588,1.7845256328582764
6000,7.69470861996524e-05,300,0.19959419965744019,613,1.7850286960601807
8000,0.04651902988553047,400,0.0034807324409484863,627,1.7835445404052734
10000,0.0006327762384898961,500,-0.41904306411743164,638,1.7798144817352295
12000,0.0013099776115268469,600,-0.25730085372924805,644,1.7767925262451172
14000,0.0011998718837276101,700,0.30369889736175537,649,1.7738956212997437
16000,0.0018394425278529525,800,-1.1608757972717285,653,1.6856584548950195
18000,0.16529957950115204,900,0.012517452239990234,656,1.5667130947113037
20000,0.007436598651111126,1000,-2.545452833175659,657,1.6085901260375977
22000,0.11232002079486847,1100,0.00016123056411743164,660,1.7102901935577393
24000,0.0013584669213742018,1200,-2.6464381217956543,662,1.783463716506958
26000,0.0011011280585080385,1300,-0.910493016242981,664,1.6581480503082275
28000,0.00045596499694511294,1400,0.725947767496109,665,1.6892257928848267
30000,0.0002999341522809118,1500,0.7133952081203461,666,1.7223632335662842
32000,0.04496317356824875,1600,0.015155911445617676,667,1.7790510654449463
34000,0.0007290049688890576,1700,-2.3508660793304443,669,1.7380943298339844
36000,0.044005386531353,1800,0.010032892227172852,669,1.7038761377334595
38000,0.10504172742366791,1900,-0.0025734901428222656,670,1.6636450290679932
40000,0.0010411480907350779,2000,0.8191107660531998,671,1.7649707794189453
42000,0.003090230282396078,2100,-0.7980623245239258,672,1.7267084121704102
44000,0.0008108196780085564,2200,0.8263597786426544,673,1.703338623046875
46000,0.11158695071935654,2300,0.0035390257835388184,673,1.775374412536621
48000,0.00220489758066833,2400,-0.7949352264404297,674,1.749671220779419
50000,0.00013195889187045395,2500,0.8490971922874451,674,1.7866910696029663
52000,0.0019101068610325456,2600,-0.22494184970855713,674,1.7857818603515625
54000,0.08647172152996063,2700,0.0031731724739074707,674,1.7831850051879883
56000,0.002353919204324484,2800,-1.1334595680236816,675,1.7649444341659546
58000,0.002213984029367566,2900,-0.7147960662841797,675,1.7436888217926025
60000,0.022217348217964172,3000,0.005395054817199707,675,1.7394001483917236
62000,0.0017757508903741837,3100,-0.3526681661605835,676,1.7635551691055298
64000,0.003011853899806738,3200,-0.5602836608886719,676,1.75832998752594
66000,0.2566649317741394,3300,-0.0008639097213745117,676,1.6096580028533936
68000,0.002401827834546566,3400,0.32664620876312256,677,1.4635581970214844
70000,0.10324303805828094,3500,0.0017296671867370605,677,1.6439892053604126
72000,0.06236131861805916,3600,0.006393730640411377,677,1.5021390914916992
74000,0.0029160657431930304,3700,-0.9155063629150391,678,1.6557371616363525
76000,0.10788986831903458,3800,-0.002340078353881836,678,1.5872036218643188
78000,0.002094307914376259,3900,-1.5094270706176758,678,1.7277543544769287
80000,0.021714001893997192,4000,0.047717511653900146,678,1.7398245334625244
82000,0.16330361366271973,4100,0.006137549877166748,678,1.6105775833129883
84000,0.138330340385437,4200,0.0008528232574462891,678,1.5027214288711548
86000,0.18700388073921204,4300,0.0026091337203979492,679,1.5442126989364624
88000,0.0024002757854759693,4400,0.39298194646835327,679,1.6596193313598633
90000,0.002469997387379408,4500,0.5380953252315521,679,1.7689729928970337
92000,0.04002432897686958,4600,-0.3929694890975952,680,1.7520767450332642
94000,0.0019451116677373648,4700,0.47053831815719604,680,1.7657630443572998
96000,0.0053476253524422646,4800,-0.3474656343460083,680,1.705579400062561
98000,0.07912120968103409,4900,-0.005734562873840332,680,1.5003156661987305
100000,0.002300481777638197,5000,0.009857535362243652,681,1.5944483280181885
102000,0.04437021166086197,5100,0.008933305740356445,681,1.777888536453247
104000,0.10701843351125717,5200,0.0023024678230285645,681,1.75079345703125
106000,0.0021870615892112255,5300,0.39544421434402466,681,1.675830602645874
108000,0.08204640448093414,5400,0.014015555381774902,681,1.7034053802490234
110000,0.002966394182294607,5500,0.07539606094360352,681,1.705103874206543
112000,0.08523835986852646,5600,0.00028270483016967773,681,1.7422021627426147
114000,0.08505000174045563,5700,0.011636137962341309,681,1.7118453979492188
116000,0.10767517238855362,5800,0.008575677871704102,681,1.7862131595611572
118000,0.06166592240333557,5900,0.0306207537651062,681,1.731752634048462
120000,0.003084152936935425,6000,-0.10981321334838867,682,1.783636450767517
122000,0.04459729045629501,6100,0.0008333325386047363,682,1.6611915826797485
124000,0.06219329684972763,6200,0.017503440380096436,682,1.760877251625061
126000,0.0020896506030112505,6300,0.06517273187637329,682,1.6503797769546509
128000,0.1470511257648468,6400,-0.02046668529510498,682,1.5856765508651733
130000,0.0038766413927078247,6500,0.19701141119003296,682,1.6983177661895752
132000,0.47424396872520447,6600,-0.0945051908493042,683,1.7667039632797241
134000,0.0028702907729893923,6700,-0.05668449401855469,683,1.7588889598846436
136000,0.06190856546163559,6800,0.001206517219543457,683,1.6950225830078125
138000,0.007563168648630381,6900,0.19178611040115356,683,1.6561143398284912
140000,0.003013809910044074,7000,-0.03638029098510742,683,1.752600908279419
