value_loss,nupdates,fps,explained_variance,total_timesteps,policy_entropy
0.0011823674431070685,45700,777,0.9932507602497935,914000,1.7559798955917358
0.002233349485322833,45800,777,0.9648414142429829,916000,1.7708419561386108
0.006246084813028574,45900,777,0.9640046618878841,918000,1.7738287448883057
0.010141740553081036,46000,777,0.874311238527298,920000,1.7595773935317993
0.003734412370249629,46100,777,0.9750335533171892,922000,1.7671674489974976
0.004968616645783186,46200,777,0.8214466869831085,924000,1.7827869653701782
0.008371889591217041,46300,776,0.8157505840063095,926000,1.769544243812561
0.008931782096624374,46400,776,0.8523810803890228,928000,1.7651684284210205
0.008505085483193398,46500,776,-0.2132033109664917,930000,1.7659647464752197
0.0064763561822474,46600,776,0.8603643029928207,932000,1.754486083984375
0.0017864156980067492,46700,776,0.9607782624661922,934000,1.7612006664276123
0.016826357692480087,46800,776,0.8709332048892975,936000,1.7768198251724243
0.0069820149801671505,46900,776,0.9451922550797462,938000,1.7760671377182007
0.008736355230212212,47000,776,0.8864018246531487,940000,1.7647674083709717
0.0158085897564888,47100,776,0.5237458944320679,942000,1.7811561822891235
0.011026361957192421,47200,776,0.9540089517831802,944000,1.778123140335083
0.010174973867833614,47300,776,0.9196244552731514,946000,1.7662639617919922
0.010262719355523586,47400,776,0.8992527201771736,948000,1.7644237279891968
0.008655635640025139,47500,776,-0.04910600185394287,950000,1.7820212841033936
0.0049130418337881565,47600,776,0.800635427236557,952000,1.7891168594360352
0.004896806087344885,47700,776,0.9552109055221081,954000,1.7788240909576416
0.0019001755863428116,47800,776,0.9710335358977318,956000,1.744969129562378
0.005974920932203531,47900,776,0.8418692052364349,958000,1.7580957412719727
0.005211725831031799,48000,776,0.7041728794574738,960000,1.7725387811660767
0.0014531216584146023,48100,776,0.8878668174147606,962000,1.7874466180801392
0.008637589402496815,48200,776,0.8775607943534851,964000,1.771338701248169
0.019217446446418762,48300,776,0.4326569437980652,966000,1.7741353511810303
0.0272306390106678,48400,776,0.5817193984985352,968000,1.7595306634902954
0.0010159281082451344,48500,776,0.9434480033814907,970000,1.7854677438735962
0.02819604054093361,48600,776,-0.45948123931884766,972000,1.7884145975112915
0.0009404256707057357,48700,776,0.7453593015670776,974000,1.7843036651611328
0.004889357835054398,48800,776,0.9454586207866669,976000,1.7724711894989014
0.004258884582668543,48900,776,0.9396531656384468,978000,1.7701528072357178
0.03353165090084076,49000,776,0.6569635570049286,980000,1.772113561630249
0.011213925667107105,49100,776,0.7725977301597595,982000,1.787848711013794
0.0021729166619479656,49200,776,0.9465041197836399,984000,1.7765918970108032
0.028801333159208298,49300,776,0.4947502017021179,986000,1.7771714925765991
0.009277159348130226,49400,776,0.8982379138469696,988000,1.7617778778076172
0.005819882266223431,49500,776,0.4663392901420593,990000,1.7898447513580322
0.00498460466042161,49600,776,0.9646289087831974,992000,1.7846012115478516
0.005882739555090666,49700,776,0.7461418211460114,994000,1.765197992324829
0.00428617000579834,49800,776,0.7679178714752197,996000,1.7863445281982422
0.002955759409815073,49900,776,0.966718290001154,998000,1.778509497642517
0.04426963999867439,50000,776,0.6568871736526489,1000000,1.7849394083023071
0.015416446141898632,50100,776,0.8276305198669434,1002000,1.780225396156311
0.0013377342838793993,50200,776,0.9932105448096991,1004000,1.7867507934570312
0.021939167752861977,50300,776,0.47529834508895874,1006000,1.767016053199768
0.012660125270485878,50400,776,0.7922546565532684,1008000,1.7400060892105103
0.009376166388392448,50500,776,0.7189989686012268,1010000,1.7645097970962524
0.010533728636801243,50600,776,0.9021685570478439,1012000,1.7674896717071533
0.005166548304259777,50700,776,0.8841419890522957,1014000,1.7495977878570557
0.017818333581089973,50800,776,-0.5300174951553345,1016000,1.7513437271118164
