total_timesteps,fps,explained_variance,nupdates,value_loss,policy_entropy
20,26,-118.06604766845703,1,0.00011454359628260136,1.7865149974822998
2000,582,0.647675096988678,100,1.8571805640021921e-06,1.77861750125885
4000,653,0.7326451241970062,200,4.867671350439196e-07,1.7793668508529663
6000,674,-0.2626330852508545,300,6.357803158607567e-06,1.7804298400878906
8000,689,-0.30836760997772217,400,5.974738996883389e-06,1.7804450988769531
10000,696,0.6063176095485687,500,6.250265869311988e-06,1.7814350128173828
12000,703,-0.7047364711761475,600,4.977151547791436e-05,1.777366042137146
14000,707,-0.3344310522079468,700,1.3411117834039032e-05,1.778003454208374
16000,712,-11.204541206359863,800,0.0002609933144412935,1.7879095077514648
18000,715,-2.766664743423462,900,6.156467861728743e-05,1.7848329544067383
20000,714,0.32928556203842163,1000,6.958217113606224e-07,1.7810657024383545
22000,715,0.7128426432609558,1100,5.061963020125404e-05,1.7520761489868164
24000,718,-2.68487811088562,1200,1.769678965501953e-05,1.7649005651474
26000,718,-0.4628598690032959,1300,4.7405446821358055e-06,1.781777024269104
28000,719,-3.5319437980651855,1400,0.00020087117445655167,1.7891311645507812
30000,721,-0.7287176847457886,1500,1.7754749933374114e-05,1.7869155406951904
32000,721,-2.574157953262329,1600,0.0005949510959908366,1.7335889339447021
34000,721,-1.2761054039001465,1700,8.843839168548584e-05,1.7906849384307861
36000,722,-0.4918327331542969,1800,3.642683077487163e-05,1.7906334400177002
38000,723,-0.6357688903808594,1900,6.468439823947847e-05,1.7908289432525635
40000,724,-0.20868778228759766,2000,2.941718776128255e-05,1.7913742065429688
42000,725,-0.2139652967453003,2100,3.4943721402669325e-05,1.7902908325195312
44000,725,-0.6140891313552856,2200,1.307877573708538e-05,1.791542649269104
46000,725,-0.37353336811065674,2300,5.330636486178264e-05,1.7899011373519897
48000,726,-0.26900172233581543,2400,6.403027509804815e-05,1.7893409729003906
50000,727,0.7953516989946365,2500,1.2785712897311896e-05,1.7900367975234985
52000,727,-0.41684556007385254,2600,4.3546468077693135e-05,1.7893928289413452
54000,728,-9.279365539550781,2700,0.0006276433123275638,1.790187120437622
56000,728,-0.32578229904174805,2800,6.228921847650781e-05,1.790734887123108
58000,729,-0.2541548013687134,2900,4.0901650208979845e-05,1.7908477783203125
60000,728,-0.04099321365356445,3000,0.025739941745996475,1.7912441492080688
62000,729,-0.07082569599151611,3100,3.141195702482946e-05,1.7911888360977173
64000,728,0.8050835877656937,3200,9.668829989095684e-06,1.7911546230316162
66000,728,0.03504765033721924,3300,4.085218461113982e-05,1.790891408920288
68000,728,0.0016176104545593262,3400,0.07121592015028,1.7899696826934814
70000,729,-0.5250256061553955,3500,8.977077959571034e-05,1.7902748584747314
72000,729,-0.40101516246795654,3600,7.461455970769748e-05,1.7893928289413452
74000,729,-0.17238056659698486,3700,5.520537888514809e-05,1.7870041131973267
76000,729,-0.10237717628479004,3800,3.104589632130228e-05,1.7906516790390015
78000,729,-0.3053874969482422,3900,6.879080319777131e-05,1.7911479473114014
80000,729,0.18264859914779663,4000,6.321451655821875e-05,1.791363000869751
82000,729,-0.21425116062164307,4100,6.177310569910333e-05,1.7913964986801147
84000,729,-0.2531946897506714,4200,6.469614163506776e-05,1.788698434829712
86000,730,-0.023487091064453125,4300,4.696862379205413e-05,1.79048752784729
88000,730,-0.178902268409729,4400,5.728785617975518e-05,1.7898763418197632
90000,730,0.004102945327758789,4500,0.02402452379465103,1.7900514602661133
92000,730,-0.33439135551452637,4600,8.040080865612254e-05,1.7901487350463867
94000,730,-0.20468854904174805,4700,9.431711077922955e-05,1.7903337478637695
96000,730,-0.05119442939758301,4800,7.777252903906628e-05,1.7907238006591797
98000,730,0.04199695587158203,4900,3.779976032092236e-05,1.791499376296997
100000,730,0.0768480896949768,5000,3.4438831789884716e-05,1.7913322448730469
102000,730,0.04879462718963623,5100,3.652569284895435e-05,1.7911722660064697
104000,730,0.10541713237762451,5200,3.429715070524253e-05,1.7912375926971436
106000,731,0.21694797277450562,5300,4.1438022890361026e-05,1.7914316654205322
108000,731,-0.32651519775390625,5400,0.00011984843149548396,1.7882457971572876
110000,731,-11.521844863891602,5500,0.00018794703646562994,1.7895088195800781
112000,731,-0.009662151336669922,5600,8.091321069514379e-05,1.790648102760315
114000,731,-0.04809868335723877,5700,7.260573329403996e-05,1.7909152507781982
116000,731,0.13707196712493896,5800,5.6443317589582875e-05,1.7912366390228271
118000,731,-0.022233128547668457,5900,5.753189179813489e-05,1.7908750772476196
120000,731,-0.04663383960723877,6000,5.8954152336809784e-05,1.7905216217041016
122000,731,-0.017052292823791504,6100,5.520549166249111e-05,1.7906501293182373
124000,731,0.7509492188692093,6200,1.69631475728238e-05,1.7906169891357422
126000,731,-0.12681353092193604,6300,9.842692088568583e-05,1.7899045944213867
128000,731,-0.21142864227294922,6400,8.688645175425336e-05,1.7902847528457642
130000,732,-0.4916602373123169,6500,0.00013838548329658806,1.7900192737579346
132000,732,-0.14634013175964355,6600,6.801312702009454e-05,1.7907997369766235
134000,732,0.2248324751853943,6700,5.730612247134559e-05,1.7908704280853271
136000,732,0.0024082064628601074,6800,0.09472709149122238,1.7910398244857788
138000,732,-0.11073708534240723,6900,7.355669367825612e-05,1.7907739877700806
140000,732,0.21710997819900513,7000,4.522238305071369e-05,1.791358232498169
142000,732,0.7882779389619827,7100,2.0516627046163194e-05,1.7908918857574463
144000,732,0.01267862319946289,7200,6.882287561893463e-05,1.7909177541732788
146000,732,-0.09034097194671631,7300,7.497583283111453e-05,1.790866494178772
148000,732,0.33386969566345215,7400,8.500869444105774e-05,1.790027379989624
150000,732,0.16552352905273438,7500,7.528159767389297e-05,1.7907480001449585
152000,732,-0.02719748020172119,7600,0.021279633045196533,1.7891725301742554
154000,732,-0.038752079010009766,7700,6.432730151573196e-05,1.7880713939666748
156000,733,0.25309818983078003,7800,4.406228254083544e-05,1.7901026010513306
158000,733,0.27653104066848755,7900,5.4400123190134764e-05,1.7895987033843994
160000,733,0.23733162879943848,8000,4.228626494295895e-05,1.7904475927352905
162000,732,0.14437705278396606,8100,3.286774517619051e-05,1.7908836603164673
164000,733,0.44046086072921753,8200,4.833405546378344e-05,1.7909902334213257
166000,733,0.14032214879989624,8300,5.063943171990104e-05,1.7909561395645142
168000,733,-0.0026497840881347656,8400,0.02437582239508629,1.7904751300811768
170000,733,0.24240601062774658,8500,6.711636524414644e-05,1.7909873723983765
172000,733,0.234735369682312,8600,5.2884442993672565e-05,1.7908051013946533
174000,733,0.0018865466117858887,8700,8.05212912382558e-05,1.7907434701919556
176000,733,0.1725357174873352,8800,5.365493052522652e-05,1.7910270690917969
178000,732,0.25638121366500854,8900,3.9436919905710965e-05,1.7911068201065063
180000,732,-0.06946539878845215,9000,6.989533721935004e-05,1.7905715703964233
182000,732,0.35859113931655884,9100,4.881920904153958e-05,1.7911460399627686
184000,732,0.04539972543716431,9200,6.756826041964814e-05,1.7907921075820923
186000,732,0.23183387517929077,9300,5.6950208090711385e-05,1.7911262512207031
188000,732,0.29349952936172485,9400,5.0765178457368165e-05,1.7911611795425415
190000,732,0.06688570976257324,9500,7.552289753220975e-05,1.7909317016601562
192000,732,0.37363070249557495,9600,5.3721356380265206e-05,1.7910830974578857
194000,732,0.419029176235199,9700,4.9560061597730964e-05,1.7902271747589111
196000,732,0.011350274085998535,9800,0.047601766884326935,1.788938283920288
198000,732,0.0837622880935669,9900,4.519915455603041e-05,1.7896541357040405
200000,733,0.704171895980835,10000,1.4492057744064368e-05,1.7906806468963623
202000,733,0.2923431396484375,10100,4.9233512982027605e-05,1.790043592453003
204000,733,0.20961099863052368,10200,5.514907024917193e-05,1.7906086444854736
206000,733,0.3349955677986145,10300,8.740823977859691e-05,1.7897751331329346
208000,733,0.11860334873199463,10400,9.55271243583411e-05,1.7898969650268555
210000,733,0.08277851343154907,10500,6.494435365311801e-05,1.7911666631698608
212000,732,0.7728464752435684,10600,4.189916580799036e-05,1.7903625965118408
214000,732,0.340121865272522,10700,7.624059071531519e-05,1.7905791997909546
216000,732,0.013714134693145752,10800,0.04751138761639595,1.7910312414169312
218000,732,0.6109279096126556,10900,4.303035166230984e-05,1.7909715175628662
220000,732,0.607244074344635,11000,4.179567258688621e-05,1.7908351421356201
222000,733,0.513678789138794,11100,3.99045275116805e-05,1.7906687259674072
224000,732,0.39273953437805176,11200,5.660114038619213e-05,1.7910512685775757
226000,732,0.6058967709541321,11300,4.2592866520863026e-05,1.7910897731781006
228000,732,-0.2922933101654053,11400,4.5734617742709816e-05,1.7910988330841064
230000,732,0.18269670009613037,11500,4.326848284108564e-05,1.7909042835235596
232000,732,0.5070087313652039,11600,4.894253652309999e-05,1.7910007238388062
234000,733,0.04635852575302124,11700,8.49240313982591e-05,1.7899173498153687
236000,733,0.4791190028190613,11800,7.780651503708214e-05,1.7898422479629517
238000,732,0.5063880383968353,11900,5.184065594221465e-05,1.7896156311035156
240000,733,-0.28526759147644043,12000,7.376976282102987e-05,1.788852334022522
242000,733,0.3344805836677551,12100,7.55862783989869e-05,1.7896347045898438
244000,733,0.4593246579170227,12200,6.139734614407644e-05,1.7901041507720947
246000,733,0.42224448919296265,12300,6.397099059540778e-05,1.7897142171859741
248000,733,0.5069833695888519,12400,6.275692430790514e-05,1.7899353504180908
250000,733,0.34409642219543457,12500,6.198852497618645e-05,1.7894271612167358
252000,733,0.38751357793807983,12600,8.45991016831249e-05,1.786874532699585
254000,732,0.6269924342632294,12700,4.0962942875921726e-05,1.7891076803207397
256000,732,-0.026328206062316895,12800,3.7007132050348446e-05,1.790144681930542
258000,733,0.023116111755371094,12900,4.32971355621703e-05,1.7904415130615234
