#{"t_start": 1525502027.4216084, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t,i
1280.0,2173,14.516282,2172
780.0,824,18.546204,2996
1300.0,1261,24.736981,4257
460.0,344,26.440605,4601
680.0,902,30.823797,5503
160.0,332,32.428898,5835
830.0,903,36.760032,6738
630.0,807,40.727025,7545
780.0,638,43.855638,8183
1300.0,2175,54.355125,10358
680.0,395,56.270444,10753
1390.0,2265,67.124067,13018
310.0,349,68.753311,13367
930.0,463,70.929741,13830
730.0,537,73.507858,14367
1320.0,1929,83.037296,16296
1300.0,604,85.870959,16900
1130.0,889,90.133872,17789
830.0,562,92.85306,18351
780.0,632,95.896622,18983
980.0,533,98.403402,19516
1300.0,1690,106.721044,21206
580.0,322,108.213336,21528
1390.0,1384,114.861813,22912
930.0,658,118.071177,23570
1370.0,2481,130.117993,26051
2750.0,1743,138.592029,27794
1630.0,976,143.331012,28770
930.0,455,145.531771,29225
1400.0,1324,151.829067,30549
1490.0,1666,159.886104,32215
780.0,347,161.574004,32562
2600.0,1430,168.537044,33992
780.0,419,170.537393,34411
1180.0,932,175.069486,35343
1280.0,924,179.473636,36267
1280.0,607,182.423892,36874
580.0,668,185.727284,37542
2130.0,1768,194.434476,39310
630.0,600,197.390365,39910
530.0,381,199.219826,40291
1460.0,1127,204.671859,41418
1660.0,1092,209.898453,42510
1710.0,1330,216.30397,43840
1470.0,1272,222.494925,45112
580.0,453,224.676409,45565
780.0,389,226.524668,45954
530.0,496,228.941603,46450
880.0,534,231.487703,46984
1130.0,617,234.419307,47601
630.0,362,236.157286,47963
1300.0,1253,242.260015,49216
1280.0,1150,247.888139,50366
1300.0,918,252.362247,51284
1880.0,1372,259.085365,52656
930.0,503,261.546778,53159
480.0,348,263.17462,53507
880.0,504,265.602542,54011
1710.0,557,268.324283,54568
1180.0,981,273.126264,55549
1180.0,1193,278.964812,56742
1080.0,515,281.505227,57257
1370.0,1384,288.281809,58641
530.0,392,290.157268,59033
1510.0,1204,296.118791,60237
1030.0,345,297.77615,60582
630.0,345,299.39449,60927
980.0,453,301.505531,61380
980.0,634,304.582803,62014
830.0,391,306.511368,62405
880.0,435,308.6037,62840
980.0,562,311.355431,63402
980.0,378,313.224652,63780
1080.0,719,316.698635,64499
1390.0,1053,321.871534,65552
1300.0,795,325.684506,66347
390.0,291,327.107128,66638
1570.0,1570,334.864966,68208
630.0,460,337.074241,68668
1500.0,1368,343.914304,70036
730.0,498,346.288404,70534
980.0,509,348.85117,71043
1280.0,876,353.164243,71919
1690.0,1059,358.322346,72978
530.0,337,359.971986,73315
1710.0,1323,366.50728,74638
980.0,747,370.152431,75385
1730.0,1882,379.497355,77267
1500.0,687,382.853759,77954
880.0,384,384.664588,78338
1300.0,851,388.774145,79189
830.0,520,391.282804,79709
1690.0,616,394.275159,80325
780.0,373,396.079274,80698
1680.0,859,400.296062,81557
1300.0,1018,405.329229,82575
1300.0,868,409.568605,83443
1180.0,631,412.653069,84074
730.0,513,415.163067,84587
880.0,502,417.552964,85089
1830.0,796,421.387627,85885
580.0,317,422.931729,86202
580.0,544,425.533779,86746
1440.0,1362,432.208179,88108
880.0,559,434.920233,88667
980.0,383,436.827749,89050
2010.0,1120,442.33079,90170
580.0,393,444.244153,90563
1180.0,746,447.930433,91309
