nupdates,value_loss,policy_entropy,fps,total_timesteps,explained_variance
2800,0.16938245296478271,2.8794379234313965,652,56000,0.4886717200279236
2900,0.0006396378739736974,2.8793580532073975,651,58000,0.9452243484556675
3000,0.004468705505132675,2.875844955444336,651,60000,0.735315203666687
3100,0.0038909767754375935,2.879924774169922,651,62000,0.8252796828746796
3200,0.011535270139575005,2.834505558013916,652,64000,0.743507593870163
3300,0.0017731760162860155,2.867311477661133,652,66000,0.9819901492446661
3400,0.0010455691954120994,2.8781485557556152,652,68000,0.9861839888617396
3500,0.002085782354697585,2.865201711654663,653,70000,0.8841604068875313
3600,0.06194646283984184,2.875295877456665,653,72000,0.22116893529891968
3700,0.0009640178759582341,2.8768470287323,653,74000,0.99291867390275
3800,0.10345810651779175,2.880176544189453,653,76000,0.7090639770030975
3900,0.001649347716011107,2.8744921684265137,654,78000,0.9919139565899968
4000,0.0003923035110346973,2.8796069622039795,654,80000,0.997176498407498
4100,0.06328000873327255,2.883619785308838,654,82000,0.22298413515090942
4200,0.00035144598223268986,2.8859951496124268,654,84000,0.9839876480400562
4300,0.0016373504186049104,2.865612745285034,654,86000,0.9924398022703826
4400,0.000350760092260316,2.8807859420776367,654,88000,0.9948843815363944
4500,0.05020488426089287,2.8839211463928223,654,90000,0.15466171503067017
4600,0.14610370993614197,2.8693621158599854,653,92000,-0.3707089424133301
4700,0.002511325292289257,2.884430408477783,653,94000,0.9483636729419231
4800,0.0017699592281132936,2.8871827125549316,653,96000,0.885813981294632
4900,0.03327398747205734,2.886514663696289,654,98000,0.6285463571548462
5000,0.0007675880333408713,2.8855319023132324,654,100000,0.9796485900878906
5100,0.0006920558516867459,2.8839144706726074,654,102000,0.9905904047191143
5200,0.015563085675239563,2.885946750640869,654,104000,0.7358239889144897
5300,0.11984921991825104,2.888652801513672,654,106000,-0.02231740951538086
5400,0.03811012580990791,2.86470103263855,654,108000,0.933461420238018
5500,0.000890467141289264,2.8889644145965576,654,110000,0.6702332198619843
5600,0.12349190562963486,2.8848094940185547,654,112000,0.5945819020271301
5700,0.22571071982383728,2.832495927810669,655,114000,0.16384077072143555
5800,0.07487025856971741,2.8814165592193604,655,116000,0.5467653274536133
5900,0.0008001700043678284,2.8882532119750977,655,118000,0.7798676937818527
6000,0.009473500773310661,2.8759055137634277,655,120000,0.7667275071144104
6100,0.0014066961593925953,2.8869175910949707,655,122000,0.43222540616989136
6200,0.004803569987416267,2.882858991622925,655,124000,0.8642578423023224
6300,0.0032341592013835907,2.8777523040771484,655,126000,0.9716397281736135
6400,0.12539081275463104,2.879716157913208,655,128000,0.1099202036857605
6500,0.02828163467347622,2.856456995010376,655,130000,0.9469319991767406
6600,0.038560010492801666,2.8814198970794678,655,132000,0.8206605166196823
