#{"t_start": 1525614502.709936, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t,i
240.0,552,577.413604,96216
210.0,493,580.346182,96709
200.0,484,583.279533,97193
160.0,549,586.635278,97742
220.0,452,589.283329,98194
210.0,554,592.590941,98748
170.0,415,595.075251,99163
220.0,516,598.209237,99679
160.0,420,600.763182,100099
140.0,382,602.993392,100481
220.0,530,606.082854,101011
200.0,457,608.744021,101468
200.0,473,611.565351,101941
200.0,427,614.053296,102368
180.0,461,616.757036,102829
220.0,583,620.263895,103412
170.0,452,622.895301,103864
170.0,437,625.493392,104301
190.0,456,628.224859,104757
170.0,452,630.887444,105209
160.0,427,633.481328,105636
210.0,491,636.390026,106127
210.0,569,639.785958,106696
170.0,436,642.303451,107132
200.0,543,645.556257,107675
120.0,347,647.609452,108022
190.0,527,650.759925,108549
180.0,534,653.919763,109083
210.0,425,656.506809,109508
210.0,488,659.355303,109996
130.0,358,661.459946,110354
220.0,461,664.169965,110815
190.0,410,666.659202,111225
200.0,480,669.468284,111705
200.0,509,672.552156,112214
210.0,468,675.438519,112682
230.0,465,678.162968,113147
230.0,569,681.54629,113716
200.0,452,684.284085,114168
170.0,408,686.730114,114576
180.0,440,689.357588,115016
230.0,492,692.321058,115508
200.0,533,695.510097,116041
220.0,547,698.762075,116588
200.0,424,701.363999,117012
170.0,456,704.067841,117468
200.0,444,706.722736,117912
220.0,451,709.399703,118363
210.0,446,712.017047,118809
170.0,417,714.503993,119226
190.0,442,717.149782,119668
200.0,463,719.852118,120131
190.0,402,722.227781,120533
200.0,441,724.8333,120974
180.0,421,727.321389,121395
210.0,511,730.407241,121906
200.0,442,732.965107,122348
190.0,432,735.539466,122780
200.0,451,738.217253,123231
210.0,448,740.828769,123679
220.0,437,743.438005,124116
170.0,430,745.929227,124546
210.0,441,748.559556,124987
220.0,540,751.783915,125527
200.0,543,755.049242,126070
160.0,392,757.404761,126462
170.0,435,760.057396,126897
190.0,504,763.065698,127401
200.0,474,765.82341,127875
200.0,516,768.930762,128391
240.0,474,771.639498,128865
190.0,526,774.739362,129391
190.0,544,778.015554,129935
230.0,502,780.977279,130437
240.0,600,784.563324,131037
170.0,420,787.061566,131457
170.0,413,789.517513,131870
190.0,491,792.446131,132361
210.0,461,795.188153,132822
240.0,494,798.100864,133316
210.0,464,800.900841,133780
210.0,430,803.456404,134210
150.0,379,805.706179,134589
230.0,552,808.919878,135141
200.0,520,812.013999,135661
200.0,438,814.649348,136099
230.0,527,817.745793,136626
170.0,385,820.039973,137011
180.0,398,822.403108,137409
210.0,473,825.211038,137882
220.0,483,828.074104,138365
200.0,465,830.866713,138830
200.0,444,833.488582,139274
200.0,446,836.104758,139720
200.0,444,838.705281,140164
210.0,453,841.377331,140617
100.0,526,844.479443,141143
200.0,426,846.977103,141569
220.0,607,850.616731,142176
210.0,489,853.502502,142665
200.0,474,856.246397,143139
180.0,480,859.109444,143619
180.0,457,861.826324,144076
200.0,399,864.221416,144475
220.0,432,866.746596,144907
170.0,419,869.178481,145326
210.0,462,871.871528,145788
230.0,460,874.664661,146248
200.0,417,877.099454,146665
200.0,442,879.710268,147107
200.0,500,882.618837,147607
220.0,482,885.430254,148089
220.0,442,887.956326,148531
190.0,477,890.803945,149008
180.0,476,893.602275,149484
180.0,433,896.083538,149917
200.0,472,898.83571,150389
180.0,451,901.443484,150840
210.0,444,903.984567,151284
180.0,458,906.633007,151742
220.0,459,909.292234,152201
220.0,505,912.242245,152706
180.0,463,915.00839,153169
200.0,445,917.619662,153614
210.0,484,920.546922,154098
190.0,516,923.573675,154614
190.0,482,926.39376,155096
200.0,468,929.102984,155564
220.0,479,931.93939,156043
200.0,510,935.169765,156553
190.0,465,938.215673,157018
230.0,568,941.894887,157586
220.0,517,944.954072,158103
210.0,496,947.912356,158599
200.0,562,951.276601,159161
210.0,501,954.266983,159662
230.0,578,957.658271,160240
200.0,473,960.476397,160713
220.0,488,963.290845,161201
220.0,473,966.039687,161674
190.0,484,968.915097,162158
220.0,587,972.345567,162745
230.0,462,975.086661,163207
210.0,435,977.618398,163642
230.0,539,980.753724,164181
200.0,439,983.317425,164620
200.0,531,986.389519,165151
200.0,509,989.355683,165660
210.0,549,992.528062,166209
170.0,390,994.811585,166599
170.0,500,997.724323,167099
210.0,495,1000.609986,167594
210.0,494,1003.447699,168088
210.0,486,1006.258796,168574
170.0,415,1008.655312,168989
240.0,525,1011.632913,169514
220.0,464,1014.294476,169978
190.0,481,1017.158699,170459
210.0,469,1019.85125,170928
210.0,439,1022.343199,171367
200.0,512,1025.42312,171879
210.0,555,1028.659599,172434
190.0,467,1031.466343,172901
180.0,458,1034.181019,173359
200.0,522,1037.25071,173881
240.0,504,1040.246768,174385
200.0,445,1042.869455,174830
220.0,511,1046.065373,175341
200.0,490,1049.30814,175831
200.0,493,1052.415107,176324
200.0,473,1055.158123,176797
220.0,497,1058.064564,177294
200.0,542,1061.2593,177836
210.0,447,1063.898942,178283
220.0,562,1067.502188,178845
180.0,406,1069.678239,179251
160.0,398,1072.271558,179649
210.0,484,1074.977989,180133
200.0,440,1077.558682,180573
200.0,554,1080.844412,181127
230.0,462,1083.538874,181589
220.0,520,1086.618257,182109
180.0,406,1088.966114,182515
190.0,481,1091.785081,182996
200.0,437,1094.317909,183433
200.0,437,1096.830249,183870
200.0,431,1099.341466,184301
230.0,552,1102.636282,184853
240.0,532,1105.738227,185385
160.0,372,1107.881567,185757
240.0,531,1110.952782,186288
200.0,439,1113.490558,186727
200.0,422,1115.945971,187149
210.0,522,1118.986695,187671
220.0,511,1121.941723,188182
220.0,501,1124.814326,188683
220.0,459,1127.534535,189142
180.0,464,1130.208252,189606
210.0,452,1132.819751,190058
210.0,470,1135.534759,190528
250.0,594,1139.024276,191122
180.0,462,1141.714169,191584
190.0,528,1144.72523,192112
250.0,571,1148.037234,192683
230.0,485,1150.91535,193168
180.0,425,1153.338915,193593
210.0,463,1156.056351,194056
200.0,484,1158.91943,194540
270.0,580,1162.310827,195120
220.0,477,1165.125724,195597
210.0,478,1167.917296,196075
220.0,563,1171.204525,196638
230.0,521,1174.183089,197159
180.0,415,1176.662404,197574
140.0,425,1179.128149,197999
200.0,434,1181.689611,198433
160.0,374,1183.88195,198807
210.0,487,1186.726511,199294
220.0,565,1189.976629,199859
210.0,460,1192.59878,200319
210.0,484,1195.41947,200803
210.0,522,1198.507579,201325
220.0,523,1201.576666,201848
170.0,426,1204.042156,202274
250.0,503,1206.982451,202777
220.0,651,1210.77934,203428
260.0,523,1213.83864,203951
220.0,450,1216.476573,204401
210.0,547,1219.684086,204948
210.0,475,1222.406238,205423
210.0,625,1226.061142,206048
220.0,557,1229.283703,206605
220.0,517,1232.357703,207122
210.0,496,1235.28204,207618
230.0,539,1238.42341,208157
230.0,599,1241.951177,208756
210.0,464,1244.607628,209220
240.0,525,1247.612923,209745
180.0,545,1250.733023,210290
220.0,554,1253.927339,210844
200.0,484,1256.782706,211328
190.0,421,1259.220097,211749
210.0,510,1262.149279,212259
210.0,547,1265.381283,212806
250.0,533,1268.482116,213339
200.0,522,1271.464661,213861
200.0,512,1274.42212,214373
220.0,501,1277.314784,214874
210.0,479,1280.10494,215353
210.0,517,1283.161834,215870
200.0,525,1286.281426,216395
180.0,426,1288.738839,216821
220.0,488,1291.577679,217309
230.0,598,1295.104329,217907
240.0,514,1298.13687,218421
220.0,543,1301.267066,218964
180.0,436,1303.834259,219400
200.0,454,1306.483087,219854
230.0,595,1309.998855,220449
220.0,637,1313.725169,221086
90.0,313,1315.557903,221399
180.0,412,1318.025794,221811
220.0,481,1320.895121,222292
220.0,589,1324.334204,222881
250.0,585,1327.855271,223466
240.0,553,1331.11704,224019
180.0,407,1333.42484,224426
200.0,492,1336.271081,224918
240.0,516,1339.333927,225434
250.0,530,1342.417919,225964
220.0,561,1345.734547,226525
220.0,525,1348.826659,227050
190.0,471,1351.626728,227521
200.0,456,1354.246137,227977
220.0,500,1357.221682,228477
190.0,488,1360.066259,228965
210.0,495,1362.938371,229460
210.0,529,1366.006939,229989
220.0,568,1369.34792,230557
210.0,547,1372.478941,231104
210.0,434,1375.008089,231538
220.0,490,1377.906601,232028
240.0,544,1381.090202,232572
260.0,528,1384.18951,233100
180.0,494,1387.092652,233594
190.0,502,1390.003505,234096
210.0,505,1392.980968,234601
180.0,472,1395.734627,235073
220.0,521,1398.828417,235594
210.0,568,1402.133924,236162
240.0,552,1405.340552,236714
210.0,455,1407.986315,237169
200.0,513,1411.036437,237682
210.0,450,1413.617748,238132
240.0,535,1416.707,238667
180.0,458,1419.400167,239125
170.0,417,1421.862721,239542
230.0,507,1424.80828,240049
160.0,393,1427.04545,240442
250.0,527,1430.090211,240969
220.0,577,1433.441141,241546
190.0,486,1436.238457,242032
250.0,524,1439.314871,242556
240.0,541,1442.439471,243097
210.0,491,1445.328236,243588
220.0,598,1448.864552,244186
140.0,433,1451.453453,244619
210.0,530,1454.552895,245149
230.0,493,1457.43567,245642
200.0,531,1460.533472,246173
200.0,462,1463.197321,246635
230.0,479,1466.017789,247114
200.0,498,1468.939444,247612
220.0,471,1471.751337,248083
240.0,576,1475.104303,248659
200.0,437,1477.676333,249096
220.0,469,1480.45068,249565
220.0,534,1483.544817,250099
210.0,477,1486.339078,250576
210.0,463,1489.065343,251039
220.0,576,1492.392212,251615
220.0,485,1495.207024,252100
240.0,614,1498.800894,252714
220.0,524,1501.853427,253238
210.0,481,1504.596208,253719
