#{"t_start": 1525419167.4657948, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t
20.0,316,7.29373
50.0,356,9.270196
50.0,343,11.205493
40.0,363,13.238601
40.0,475,15.903989
130.0,589,19.217212
120.0,458,21.747311
80.0,398,23.967713
60.0,324,25.763791
90.0,384,27.891202
100.0,374,29.988619
120.0,519,32.936304
30.0,294,34.584947
60.0,408,36.84025
70.0,344,38.732334
80.0,347,40.702692
30.0,295,42.347492
30.0,299,43.994921
130.0,462,46.551568
30.0,287,48.154283
190.0,459,50.748148
60.0,328,52.582335
110.0,398,54.804134
110.0,377,56.865165
20.0,295,58.555719
60.0,416,60.880742
50.0,353,62.8533
60.0,402,65.07845
20.0,294,66.723152
130.0,420,69.073104
100.0,340,70.948539
100.0,377,73.065831
70.0,345,74.975253
20.0,291,76.582
90.0,409,78.855948
110.0,429,81.243959
60.0,321,82.984642
90.0,503,85.7578
10.0,299,87.423008
110.0,458,89.973873
10.0,317,91.734405
30.0,301,93.405439
90.0,339,95.333485
160.0,436,97.766639
50.0,391,99.88883
80.0,544,102.928879
50.0,379,105.038499
30.0,327,106.830295
70.0,311,108.583331
40.0,329,110.427667
90.0,491,113.251101
20.0,295,114.891062
60.0,347,116.826143
50.0,447,119.325967
100.0,486,122.110172
50.0,350,124.041551
80.0,326,125.87209
170.0,570,129.089437
80.0,511,131.974861
70.0,405,134.255926
90.0,466,136.851647
150.0,505,139.676617
190.0,490,142.455962
80.0,498,145.204503
60.0,521,148.102571
30.0,376,150.192981
100.0,431,152.585296
130.0,538,155.648906
30.0,292,157.301629
50.0,398,159.510439
110.0,426,161.88726
30.0,387,164.048502
80.0,391,166.245634
100.0,417,168.579691
100.0,458,171.134013
90.0,409,173.434387
110.0,357,175.43754
120.0,429,177.892359
140.0,469,180.480022
110.0,474,183.113484
90.0,361,185.107948
100.0,407,187.4016
130.0,523,190.326228
130.0,372,192.379198
170.0,535,195.331214
90.0,402,197.537305
80.0,402,199.737247
90.0,477,202.426146
80.0,473,205.024738
70.0,434,207.427916
90.0,428,209.734483
170.0,501,212.558982
100.0,484,215.259282
60.0,378,217.370211
70.0,390,219.530074
130.0,428,221.91116
90.0,377,224.026102
160.0,464,226.652672
120.0,499,229.418736
70.0,348,231.380797
50.0,400,233.583925
110.0,460,236.185738
30.0,350,238.147215
20.0,325,239.961227
120.0,385,242.124391
20.0,282,243.682728
130.0,483,246.391148
30.0,305,248.070303
110.0,403,250.281334
80.0,461,252.84754
180.0,565,255.994625
110.0,401,258.201857
80.0,385,260.346756
50.0,345,262.324767
60.0,365,264.386606
90.0,433,266.799553
100.0,385,268.982937
40.0,340,270.85387
70.0,427,273.293603
80.0,520,276.216205
180.0,483,278.940702
120.0,436,281.338433
190.0,504,284.211079
30.0,365,286.216511
150.0,502,289.051491
90.0,390,291.25054
90.0,430,293.686037
80.0,435,296.096251
110.0,389,298.276666
100.0,406,300.546608
110.0,393,302.74499
160.0,526,305.709135
80.0,335,307.620869
100.0,383,309.780526
100.0,397,312.015577
10.0,286,313.606863
130.0,394,315.804284
110.0,412,318.096184
140.0,534,321.055733
190.0,514,323.939215
80.0,438,326.393488
80.0,372,328.423215
120.0,432,330.866917
100.0,540,333.894227
150.0,416,336.228523
200.0,511,339.064977
160.0,459,341.618272
120.0,390,343.836216
40.0,381,345.910209
80.0,383,348.00214
160.0,476,350.63622
90.0,412,352.950716
160.0,464,355.517473
130.0,420,357.845469
100.0,404,360.075393
120.0,359,362.050452
140.0,509,364.903447
140.0,438,367.331071
160.0,451,369.851323
120.0,534,372.827909
70.0,302,374.544906
90.0,376,376.680769
60.0,377,378.759016
50.0,372,380.830016
180.0,466,383.449215
200.0,447,385.953629
180.0,527,388.884076
140.0,416,391.230445
80.0,318,392.999044
140.0,453,395.510486
160.0,442,397.964831
180.0,494,400.704947
130.0,417,403.037162
150.0,390,405.244139
110.0,387,407.380042
100.0,399,409.566516
80.0,433,411.991723
100.0,415,414.321582
90.0,392,416.553309
160.0,501,419.364511
160.0,503,422.17003
90.0,525,425.176084
70.0,380,427.268205
210.0,464,429.863632
180.0,440,432.329844
130.0,412,434.655882
80.0,403,436.896404
160.0,495,439.698982
180.0,426,442.085215
110.0,435,444.537801
220.0,497,447.385398
170.0,482,450.105394
140.0,353,452.0726
160.0,396,454.320287
210.0,489,457.051296
170.0,421,459.446712
200.0,498,462.248756
200.0,457,464.826759
180.0,454,467.408847
210.0,488,470.18251
230.0,464,472.753714
160.0,416,475.035659
190.0,411,477.355675
190.0,418,479.694789
200.0,447,482.240618
160.0,354,484.161479
220.0,537,487.194925
210.0,516,490.129725
200.0,453,492.673015
110.0,340,494.571554
210.0,492,497.313097
220.0,486,500.019933
220.0,468,502.604634
180.0,395,504.838538
180.0,450,507.337701
180.0,448,509.820659
200.0,441,512.238763
170.0,432,514.667454
150.0,445,517.144985
230.0,505,519.94335
200.0,438,522.351715
180.0,482,525.016735
180.0,465,527.614847
240.0,561,530.728106
200.0,479,533.369239
110.0,405,535.59472
210.0,486,538.317057
150.0,368,540.385404
210.0,497,543.197574
170.0,408,545.478354
200.0,469,548.053426
180.0,407,550.320273
190.0,471,552.966635
100.0,349,554.909446
210.0,506,557.696847
210.0,545,560.72853
200.0,456,563.234388
110.0,331,565.020387
210.0,512,567.846416
170.0,398,570.046574
210.0,436,572.487913
160.0,397,574.690548
200.0,457,577.294375
220.0,481,579.941219
190.0,461,582.518382
160.0,488,585.238602
210.0,425,587.629296
200.0,504,590.414547
180.0,481,593.095297
180.0,411,595.405994
200.0,487,598.12466
220.0,467,600.700101
200.0,461,603.305502
220.0,500,606.109032
220.0,580,609.410579
190.0,443,611.849476
220.0,511,614.695493
210.0,507,617.549059
170.0,419,619.933655
160.0,376,621.997619
220.0,519,624.86002
170.0,400,627.088312
220.0,457,629.659214
210.0,532,632.594029
210.0,530,635.493056
190.0,507,638.266918
230.0,522,641.154797
190.0,389,643.311464
180.0,407,645.58519
200.0,435,647.958571
220.0,501,650.688365
160.0,419,653.02001
180.0,494,655.787836
100.0,461,658.355331
240.0,511,661.191523
180.0,451,663.702308
190.0,496,666.426596
200.0,507,669.241627
210.0,462,671.825597
150.0,400,674.04284
210.0,556,677.108139
180.0,450,679.60323
200.0,467,682.172925
190.0,422,684.489
170.0,388,686.651538
170.0,405,688.852893
210.0,416,691.11263
170.0,483,693.707434
220.0,607,697.110231
190.0,446,699.57929
210.0,494,702.268354
210.0,454,704.779329
200.0,485,707.421997
170.0,414,709.698729
220.0,528,712.614815
220.0,577,715.817858
220.0,472,718.456585
270.0,574,721.617855
250.0,464,724.169333
220.0,505,726.974153
170.0,434,729.375962
270.0,535,732.296303
210.0,537,735.264969
210.0,447,737.717897
220.0,497,740.44834
240.0,499,743.247173
180.0,429,745.624866
210.0,488,748.393816
190.0,428,750.745142
180.0,394,752.989073
190.0,466,755.618767
190.0,493,758.414002
230.0,558,761.48037
210.0,516,764.356018
220.0,526,767.288986
200.0,447,769.753427
180.0,420,772.105533
210.0,475,774.731382
210.0,487,777.444284
210.0,542,780.478296
170.0,477,783.108629
220.0,608,786.529287
170.0,395,788.767044
180.0,447,791.271918
240.0,477,793.895029
240.0,528,796.804985
210.0,515,799.690401
200.0,444,802.120765
200.0,488,804.789706
200.0,452,807.360339
220.0,443,809.853519
200.0,469,812.418261
240.0,547,815.506161
220.0,527,818.393083
190.0,431,820.832365
200.0,458,823.340631
210.0,496,826.110688
220.0,469,828.686003
170.0,427,831.080705
190.0,448,833.511792
200.0,456,836.038129
190.0,459,838.60176
240.0,501,841.295708
220.0,559,844.349255
210.0,534,847.293467
220.0,456,849.831237
200.0,445,852.283284
110.0,391,854.46938
180.0,478,857.103325
220.0,451,859.609333
180.0,393,861.811522
210.0,573,864.968797
240.0,568,868.086136
200.0,533,870.972124
200.0,437,873.362759
220.0,489,876.046471
180.0,423,878.378298
170.0,406,880.589141
190.0,427,882.97202
190.0,422,885.344165
200.0,452,887.834949
