#{"t_start": 1525614502.8712916, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t,i
110.0,373,10.1651,372
40.0,308,11.974702,680
180.0,494,14.888058,1174
110.0,471,17.696201,1645
10.0,261,19.21491,1906
70.0,504,22.241131,2410
60.0,343,24.284446,2753
50.0,425,26.808256,3178
70.0,350,28.91041,3528
160.0,520,31.982184,4048
100.0,379,34.243237,4427
110.0,349,36.274609,4776
40.0,321,38.151384,5097
120.0,557,41.45434,5654
30.0,314,43.2607,5968
30.0,303,45.104534,6271
50.0,380,47.346493,6651
70.0,387,49.575051,7038
50.0,390,51.937933,7428
80.0,392,54.218114,7820
30.0,332,56.161362,8152
10.0,300,57.952127,8452
10.0,308,59.745895,8760
90.0,433,62.307647,9193
30.0,274,63.911946,9467
120.0,364,66.039239,9831
110.0,468,68.839108,10299
90.0,369,70.985606,10668
70.0,310,72.787683,10978
70.0,496,75.678636,11474
60.0,329,77.612053,11803
30.0,356,79.76897,12159
40.0,289,81.474218,12448
50.0,341,83.469765,12789
50.0,351,85.608469,13140
100.0,509,88.613619,13649
60.0,509,91.632401,14158
70.0,386,93.933847,14544
60.0,347,96.008696,14891
80.0,367,98.168549,15258
120.0,407,100.606248,15665
70.0,453,103.305748,16118
70.0,503,106.245234,16621
90.0,541,109.482812,17162
90.0,532,112.618741,17694
50.0,421,115.096894,18115
70.0,328,117.027353,18443
30.0,291,118.729014,18734
100.0,415,121.197455,19149
120.0,571,124.532632,19720
50.0,355,126.595048,20075
50.0,339,128.620132,20414
80.0,418,131.094956,20832
30.0,309,132.884738,21141
110.0,477,135.730163,21618
70.0,444,138.340341,22062
130.0,618,142.033268,22680
60.0,375,144.300508,23055
30.0,329,146.289851,23384
130.0,467,149.134153,23851
60.0,409,151.591681,24260
40.0,359,153.696685,24619
90.0,542,156.915443,25161
80.0,471,159.664872,25632
110.0,438,162.229235,26070
50.0,327,164.163343,26397
110.0,470,166.98057,26867
70.0,303,168.713498,27170
40.0,336,170.625945,27506
180.0,490,173.5463,27996
30.0,312,175.398346,28308
70.0,373,177.573059,28681
100.0,556,180.882853,29237
70.0,378,183.148782,29615
70.0,456,185.873012,30071
100.0,384,188.124995,30455
50.0,350,190.143073,30805
140.0,399,192.498055,31204
80.0,333,194.460287,31537
90.0,431,197.053077,31968
70.0,337,199.044035,32305
110.0,500,202.01703,32805
100.0,431,204.51774,33236
160.0,562,207.919948,33798
50.0,302,209.716128,34100
20.0,283,211.357488,34383
120.0,390,213.622109,34773
120.0,420,216.162965,35193
90.0,405,218.552213,35598
140.0,581,221.982311,36179
110.0,455,224.632576,36634
50.0,431,227.232876,37065
70.0,331,229.218306,37396
60.0,328,231.141217,37724
110.0,393,233.465638,38117
60.0,513,236.474254,38630
130.0,459,239.185162,39089
140.0,418,241.714709,39507
60.0,330,243.632478,39837
50.0,401,246.015822,40238
60.0,434,248.58067,40672
110.0,430,251.109336,41102
60.0,384,253.333199,41486
70.0,378,255.61552,41864
20.0,262,257.194309,42126
160.0,433,259.787144,42559
60.0,340,261.779325,42899
70.0,429,264.278021,43328
170.0,460,267.007608,43788
110.0,474,269.850457,44262
120.0,340,271.833344,44602
170.0,488,274.642698,45090
130.0,417,277.12739,45507
110.0,345,279.125941,45852
0.0,247,280.575308,46099
80.0,359,282.709724,46458
50.0,393,285.086085,46851
150.0,418,287.526781,47269
140.0,414,289.981056,47683
20.0,297,291.715571,47980
30.0,305,293.492015,48285
220.0,513,296.498681,48798
160.0,557,299.84115,49355
120.0,463,302.628443,49818
150.0,400,305.063324,50218
140.0,421,307.517694,50639
90.0,396,309.882543,51035
130.0,405,312.327296,51440
110.0,499,315.337687,51939
110.0,389,317.59825,52328
30.0,345,319.605254,52673
130.0,504,322.685628,53177
80.0,345,324.699548,53522
130.0,421,327.191387,53943
110.0,386,329.482808,54329
100.0,402,331.856394,54731
130.0,467,334.620687,55198
210.0,571,338.033718,55769
160.0,422,340.546371,56191
90.0,391,342.862883,56582
120.0,530,345.905442,57112
170.0,486,348.754716,57598
220.0,493,351.64609,58091
30.0,328,353.551471,58419
130.0,425,356.048588,58844
110.0,380,358.258304,59224
130.0,417,360.708581,59641
190.0,506,363.682108,60147
100.0,363,365.873142,60510
170.0,457,368.504637,60967
100.0,389,370.774463,61356
150.0,513,373.85363,61869
100.0,382,376.058231,62251
130.0,444,378.672072,62695
180.0,457,381.369503,63152
100.0,442,384.003649,63594
190.0,442,386.597787,64036
160.0,539,389.740442,64575
200.0,489,392.624616,65064
140.0,386,394.881679,65450
130.0,364,397.012892,65814
170.0,447,399.65526,66261
120.0,362,401.826582,66623
170.0,389,404.098966,67012
180.0,426,406.614976,67438
170.0,397,409.031242,67835
210.0,476,411.817801,68311
210.0,456,414.504809,68767
190.0,451,417.179476,69218
70.0,470,419.97194,69688
170.0,520,423.008409,70208
220.0,501,425.985684,70709
180.0,392,428.35497,71101
230.0,499,431.313921,71600
160.0,433,433.869692,72033
180.0,506,436.871114,72539
170.0,450,439.494059,72989
230.0,474,442.351734,73463
190.0,488,445.23312,73951
190.0,465,447.990967,74416
170.0,408,450.336685,74824
110.0,471,453.168304,75295
190.0,466,455.951177,75761
130.0,378,458.248732,76139
220.0,456,460.960824,76595
220.0,511,463.96634,77106
200.0,482,466.8472,77588
120.0,353,468.911999,77941
220.0,477,471.737716,78418
220.0,484,474.600168,78902
210.0,474,477.363413,79376
220.0,487,480.232543,79863
190.0,450,482.839501,80313
220.0,461,485.606238,80774
190.0,461,488.300644,81235
200.0,480,491.182779,81715
190.0,480,494.010266,82195
250.0,574,497.415715,82769
240.0,540,500.575694,83309
200.0,428,503.096653,83737
180.0,458,505.799316,84195
200.0,425,508.334713,84620
230.0,494,511.274192,85114
180.0,434,513.80117,85548
220.0,572,517.219951,86120
180.0,581,520.743215,86701
160.0,492,523.639349,87193
210.0,515,526.687526,87708
200.0,477,529.523533,88185
260.0,502,532.552629,88687
180.0,447,535.173105,89134
180.0,469,537.980326,89603
200.0,506,540.978425,90109
200.0,477,543.781427,90586
170.0,436,546.373278,91022
200.0,412,548.832655,91434
220.0,440,551.500614,91874
190.0,446,554.15712,92320
200.0,444,556.757306,92764
180.0,553,560.09717,93317
210.0,535,563.272435,93852
210.0,544,566.512378,94396
160.0,525,569.575144,94921
140.0,428,572.103466,95349
150.0,413,574.540717,95762
220.0,468,577.344131,96230
180.0,423,579.812604,96653
200.0,473,582.669325,97126
240.0,534,585.931389,97660
210.0,537,589.152397,98197
200.0,457,591.830842,98654
220.0,441,594.462125,99095
210.0,596,598.127131,99691
140.0,391,600.488098,100082
200.0,542,603.706969,100624
120.0,419,606.122158,101043
190.0,434,608.641736,101477
230.0,505,611.650165,101982
170.0,411,614.058618,102393
220.0,437,616.618944,102830
200.0,423,619.101956,103253
110.0,378,621.324172,103631
190.0,449,624.021953,104080
190.0,535,627.207573,104615
190.0,461,629.915154,105076
100.0,354,632.05265,105430
170.0,467,634.810946,105897
170.0,383,637.091732,106280
220.0,445,639.74045,106725
220.0,491,642.590897,107216
190.0,412,645.06754,107628
200.0,462,647.781186,108090
180.0,507,650.847809,108597
200.0,446,653.447138,109043
180.0,415,655.963465,109458
260.0,565,659.307744,110023
230.0,453,661.97641,110476
200.0,472,664.748028,110948
250.0,537,667.979573,111485
230.0,445,670.652098,111930
190.0,436,673.283298,112366
220.0,492,676.275817,112858
210.0,509,679.259533,113367
190.0,511,682.310144,113878
170.0,367,684.530894,114245
230.0,454,687.276024,114699
220.0,470,690.044391,115169
190.0,413,692.541153,115582
200.0,501,695.54055,116083
210.0,436,698.117373,116519
230.0,517,701.290061,117036
210.0,468,704.091851,117504
210.0,528,707.254606,118032
210.0,491,710.167339,118523
200.0,468,712.883286,118991
