fps,value_loss,nupdates,policy_entropy,explained_variance,total_timesteps
840,6.405657040886581e-05,5900,1.7911021709442139,0.03204011917114258,118000
840,5.8109457313548774e-05,6000,1.7908014059066772,0.054589927196502686,120000
841,0.07096119225025177,6100,1.7910327911376953,-0.0013687610626220703,122000
841,8.539752889191732e-05,6200,1.7910959720611572,0.14219880104064941,124000
841,6.675113399978727e-05,6300,1.791107177734375,0.11291283369064331,126000
841,5.869577216799371e-05,6400,1.790869116783142,-0.005012035369873047,128000
841,6.109898095019162e-05,6500,1.7909793853759766,-0.08305978775024414,130000
842,5.420991874416359e-05,6600,1.790951132774353,-0.1626603603363037,132000
842,8.97924110176973e-05,6700,1.7911335229873657,0.06739777326583862,134000
842,7.532436575274915e-05,6800,1.791017770767212,0.08526498079299927,136000
842,8.943903230829164e-05,6900,1.7910728454589844,-0.010663866996765137,138000
842,6.932641554158181e-05,7000,1.7909024953842163,0.443525493144989,140000
842,4.838497989112511e-05,7100,1.7909162044525146,0.15527790784835815,142000
842,6.9217654527165e-05,7200,1.7905641794204712,0.045374274253845215,144000
842,4.948771675117314e-05,7300,1.7907899618148804,0.350200355052948,146000
842,0.11673921346664429,7400,1.79074227809906,0.016968190670013428,148000
843,7.943937089294195e-05,7500,1.790321707725525,0.34098005294799805,150000
842,6.436088733607903e-05,7600,1.7904001474380493,-0.243300199508667,152000
842,4.213091960991733e-05,7700,1.7905616760253906,0.5201700329780579,154000
843,4.2040694097522646e-05,7800,1.7903530597686768,0.7541621327400208,156000
843,4.8881098337005824e-05,7900,1.7903915643692017,0.4317166209220886,158000
843,6.64944454911165e-05,8000,1.7907625436782837,0.5017905235290527,160000
843,6.465525075327605e-05,8100,1.7907121181488037,0.46991920471191406,162000
843,5.537444303627126e-05,8200,1.7907803058624268,0.04668152332305908,164000
843,4.0674349293112755e-05,8300,1.7910354137420654,0.7678768038749695,166000
843,5.960358612355776e-05,8400,1.7912797927856445,0.4584850072860718,168000
843,4.303760579205118e-05,8500,1.7913920879364014,0.7239603102207184,170000
843,4.061961590196006e-05,8600,1.7914459705352783,0.14450758695602417,172000
843,3.231317168683745e-05,8700,1.7914221286773682,0.7502898573875427,174000
843,0.06993964314460754,8800,1.7913639545440674,0.03075772523880005,176000
843,8.320838969666511e-05,8900,1.7914011478424072,-0.17231285572052002,178000
843,5.066541416454129e-05,9000,1.7911955118179321,0.7122929692268372,180000
844,0.000142169272294268,9100,1.7907397747039795,-1.561185598373413,182000
844,6.843305163783953e-05,9200,1.790916085243225,0.1872497797012329,184000
844,9.436895197723061e-05,9300,1.7908967733383179,-0.12019228935241699,186000
844,5.11791804456152e-05,9400,1.7909824848175049,0.8319437354803085,188000
