total_timesteps,fps,policy_entropy,value_loss,explained_variance,nupdates
5304000,517,2.165888547897339,0.0020421042572706938,0.9683010429143906,265200
5306000,517,1.9777679443359375,0.012479237280786037,0.9626819491386414,265300
5308000,517,1.865760087966919,0.0033244038932025433,0.9925202033482492,265400
5310000,517,1.7153332233428955,0.006378582678735256,0.9479877129197121,265500
5312000,517,2.0145490169525146,0.004246615804731846,0.990015028975904,265600
5314000,517,1.933336615562439,0.03624476492404938,0.9083249047398567,265700
5316000,517,1.8915979862213135,0.031351443380117416,0.9621734134852886,265800
5318000,517,2.0250916481018066,0.0038262642920017242,0.9975432192441076,265900
5320000,517,2.042567014694214,0.010966677218675613,0.9834492821246386,266000
5322000,517,1.9704393148422241,0.0011904872953891754,0.9982046332443133,266100
5324000,517,2.087782621383667,0.0015052271774038672,0.9958337019197643,266200
5326000,517,1.9399709701538086,0.008586844429373741,0.9701632354408503,266300
5328000,517,1.912594199180603,0.003137525636702776,0.993969616945833,266400
5330000,517,1.9147878885269165,0.004464427009224892,0.9927442311309278,266500
5332000,517,1.9299789667129517,0.03190264850854874,0.9527391381561756,266600
5334000,518,2.0379421710968018,0.007247074041515589,0.9921477241441607,266700
5336000,518,1.9574466943740845,0.014330120757222176,0.9077937006950378,266800
5338000,518,1.943345308303833,0.009618617594242096,0.987016236409545,266900
5340000,518,1.9408323764801025,0.021678877994418144,0.9625002257525921,267000
5342000,518,1.8082540035247803,0.003186148824170232,0.9918424896895885,267100
5344000,518,1.7208833694458008,0.008608680218458176,0.956014946103096,267200
5346000,518,1.9676978588104248,0.004421295132488012,0.9905664967373013,267300
5348000,518,1.9389960765838623,0.03096291795372963,0.5917342007160187,267400
5350000,518,1.9912309646606445,0.019396495074033737,0.9003030434250832,267500
5352000,518,1.8161659240722656,0.008955005556344986,0.912653386592865,267600
5354000,518,2.0692358016967773,0.008147901855409145,0.9379326291382313,267700
5356000,518,1.9171186685562134,0.006689185742288828,0.9895443087443709,267800
5358000,518,2.069467306137085,0.0031073347199708223,0.9973021387122571,267900
5360000,518,2.0326602458953857,0.005076389294117689,0.9930652962066233,268000
5362000,518,1.8170602321624756,0.019106294959783554,-0.259138822555542,268100
5364000,518,1.9431583881378174,0.008335966616868973,0.971372377127409,268200
5366000,518,2.121230125427246,0.005732436664402485,0.9500186629593372,268300
5368000,518,1.9201862812042236,0.03238982334733009,0.9703594632446766,268400
5370000,518,1.6948658227920532,0.01958462782204151,0.9440545737743378,268500
5372000,519,1.6812928915023804,0.007403557188808918,0.9762712586671114,268600
5374000,519,1.7982345819473267,0.014077474363148212,0.9763680789619684,268700
