#{"t_start": 1525583100.7084, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t,i
220.0,949,18.037275,948
308.0,1360,29.443267,2308
352.0,1259,39.765194,3567
308.0,1144,49.485517,4711
220.0,1160,59.214321,5871
220.0,931,67.058233,6802
264.0,1019,75.673646,7821
220.0,1221,86.0353,9042
352.0,1597,99.305558,10639
396.0,1290,110.113314,11929
396.0,1520,122.736736,13449
132.0,1019,131.337296,14468
756.0,1761,146.228105,16229
308.0,1053,154.998836,17282
352.0,1363,166.255544,18645
440.0,1092,175.260642,19737
660.0,1925,191.643986,21662
264.0,1191,201.685239,22853
220.0,951,209.776021,23804
572.0,1982,226.490778,25786
440.0,1326,237.753168,27112
352.0,1218,248.011467,28330
220.0,956,255.929567,29286
308.0,1037,264.813936,30323
220.0,1119,274.269917,31442
176.0,964,282.294237,32406
396.0,1145,291.980805,33551
396.0,924,299.69969,34475
308.0,1325,310.884892,35800
572.0,1452,323.289721,37252
308.0,1580,336.677222,38832
132.0,973,344.928733,39805
660.0,1857,360.681626,41662
352.0,1085,369.940731,42747
440.0,1276,380.78642,44023
308.0,1464,393.136164,45487
396.0,1234,403.455332,46721
396.0,1358,414.869368,48079
440.0,1664,428.985893,49743
660.0,1987,445.788703,51730
396.0,1297,456.772297,53027
308.0,1446,469.00703,54473
308.0,1317,479.984931,55790
852.0,2716,502.821257,58506
352.0,1189,512.863547,59695
528.0,1346,524.070427,61041
308.0,1123,533.477045,62164
264.0,893,541.059939,63057
352.0,1464,553.301533,64521
264.0,855,560.416387,65376
352.0,966,568.509237,66342
220.0,1220,578.563232,67562
660.0,1967,594.755691,69529
528.0,1302,605.475868,70831
528.0,1432,617.481256,72263
352.0,1376,629.077431,73639
708.0,2151,646.938399,75790
528.0,1652,660.940204,77442
264.0,1132,670.353676,78574
660.0,1357,681.70931,79931
220.0,922,689.354288,80853
220.0,1136,698.820045,81989
484.0,1380,710.480226,83369
440.0,1087,719.617689,84456
264.0,1188,729.506505,85644
396.0,1182,739.472037,86826
220.0,892,746.838988,87718
176.0,965,754.894456,88683
396.0,914,762.558405,89597
352.0,1082,771.839096,90679
88.0,1046,780.76576,91725
484.0,1604,794.375933,93329
396.0,1949,810.771155,95278
660.0,1479,823.442955,96757
220.0,994,831.744684,97751
264.0,1048,840.405433,98799
756.0,2249,859.362374,101048
88.0,1033,868.067087,102081
572.0,1483,880.407818,103564
352.0,1005,888.848839,104569
352.0,1165,898.576776,105734
220.0,1050,907.510591,106784
440.0,1404,919.240443,108188
528.0,1672,933.426304,109860
440.0,1244,943.868897,111104
572.0,1366,955.319575,112470
132.0,859,962.531403,113329
616.0,1553,975.727513,114882
308.0,1015,984.322911,115897
756.0,2277,1003.451709,118174
440.0,1438,1015.648807,119612
396.0,1435,1027.874068,121047
756.0,2593,1049.883115,123640
660.0,2037,1066.971278,125677
440.0,1604,1080.413933,127281
264.0,1347,1091.65134,128628
396.0,1558,1104.774182,130186
308.0,1030,1113.520101,131216
616.0,1353,1125.046654,132569
440.0,1185,1135.189867,133754
660.0,2085,1152.926553,135839
660.0,2133,1170.910826,137972
484.0,1592,1184.094692,139564
176.0,857,1191.284271,140421
176.0,924,1198.927724,141345
264.0,917,1206.568193,142262
220.0,962,1214.673615,143224
220.0,1022,1223.191159,144246
264.0,1011,1231.659646,145257
440.0,1348,1243.195343,146605
308.0,1463,1255.449606,148068
616.0,1738,1268.580704,149806
