value_loss,explained_variance,policy_entropy,total_timesteps,fps,nupdates
8.008229087863583e-06,-12.712724685668945,1.7905282974243164,8,11,1
1.4077983223614865e-06,-2.336059093475342,1.7821437120437622,800,387,100
5.716137820854783e-06,0.30403780937194824,1.782516598701477,1600,460,200
4.5448850869433954e-06,0.42620164155960083,1.7833185195922852,2400,489,300
1.181634343083715e-05,0.4454987049102783,1.7849431037902832,3200,506,400
5.60685384698445e-06,0.7408042848110199,1.7830251455307007,4000,517,500
0.0001102133173844777,-0.16306090354919434,1.7757925987243652,4800,525,600
0.00022516555327456445,-0.582718014717102,1.7627649307250977,5600,531,700
1.3762517482973635e-05,0.9306987971067429,1.7794709205627441,6400,535,800
0.00015203087241388857,0.36969637870788574,1.7292283773422241,7200,539,900
0.0004877517349086702,-0.33008790016174316,1.7173854112625122,8000,539,1000
8.810701547190547e-05,-0.1342477798461914,1.7041586637496948,8800,543,1100
0.0001591021427884698,0.7212700545787811,0.6543482542037964,9600,543,1200
0.0002539475681260228,-4.137242317199707,1.7622435092926025,10400,544,1300
2.40358458540868e-05,0.775402382016182,1.7561607360839844,11200,546,1400
0.00016378115105908364,-6.745072841644287,1.7618181705474854,12000,546,1500
0.000495700805913657,-1.1213405132293701,1.7084500789642334,12800,548,1600
0.0014155961107462645,-13.858991622924805,1.7663748264312744,13600,549,1700
0.0002597493876237422,-1.929534912109375,1.7586029767990112,14400,550,1800
0.12449336051940918,0.0015947222709655762,1.7660402059555054,15200,551,1900
0.0008758450858294964,-0.5800256729125977,1.5687587261199951,16000,551,2000
0.0001755041885189712,-1.2574310302734375,1.75026535987854,16800,552,2100
1.0612389814923517e-05,0.6583991348743439,1.637148141860962,17600,553,2200
0.00041960866656154394,-0.7997791767120361,1.7215571403503418,18400,553,2300
0.00111005746293813,-3.258330821990967,1.6887333393096924,19200,554,2400
0.1265697479248047,-0.0042307376861572266,1.7270455360412598,20000,553,2500
0.0012321637477725744,-5.249647617340088,1.772276759147644,20800,555,2600
7.295102113857865e-05,0.15881305932998657,1.7866480350494385,21600,555,2700
0.0007871323614381254,-1.0481724739074707,1.7033569812774658,22400,555,2800
2.7841757400892675e-05,0.9624905474483967,1.754577875137329,23200,556,2900
0.0007357321446761489,-1.2631750106811523,1.7732558250427246,24000,556,3000
0.0001817597367335111,0.28223592042922974,1.7864125967025757,24800,557,3100
0.000409103580750525,-2.616758346557617,1.7782833576202393,25600,556,3200
0.0006024733884260058,-0.8937505483627319,1.7607862949371338,26400,556,3300
0.00044791935943067074,-0.8576837778091431,1.756622552871704,27200,557,3400
0.0008896634681150317,-1.574544906616211,1.7611645460128784,28000,557,3500
0.11671126633882523,0.006345212459564209,1.7044318914413452,28800,558,3600
0.0004965286934748292,-0.25472843647003174,1.6549277305603027,29600,558,3700
0.0002943933359347284,-0.24649524688720703,1.6652119159698486,30400,557,3800
0.0007385072531178594,-0.46279215812683105,1.5304667949676514,31200,558,3900
0.0004263551963958889,-2.6979384422302246,1.7586586475372314,32000,558,4000
5.568611231865361e-05,0.9927764404565096,1.7047135829925537,32800,559,4100
0.11564669758081436,-7.68899917602539e-05,1.5866605043411255,33600,559,4200
0.1157710924744606,0.002473890781402588,1.6709249019622803,34400,559,4300
0.0006000209832563996,-0.14474499225616455,1.68600594997406,35200,559,4400
0.0004103149985894561,-0.023318886756896973,1.587498426437378,36000,559,4500
0.00023267982760444283,-0.2237633466720581,1.6500813961029053,36800,559,4600
0.0003187611582688987,-0.147192120552063,1.7287758588790894,37600,559,4700
0.0006972986739128828,-0.6902353763580322,1.6797419786453247,38400,559,4800
0.0007596850045956671,-2.929828643798828,1.7693805694580078,39200,559,4900
0.05686858296394348,0.014830291271209717,1.7654831409454346,40000,559,5000
0.055924493819475174,0.024092912673950195,1.7208967208862305,40800,560,5100
0.0010133011965081096,-1.3320865631103516,1.7033436298370361,41600,560,5200
0.0006151215638965368,-0.24690556526184082,1.7395730018615723,42400,560,5300
0.0007689821650274098,-1.7359731197357178,1.7526586055755615,43200,560,5400
0.05789303034543991,0.015370786190032959,1.77659010887146,44000,560,5500
0.0007100319489836693,-0.5746572017669678,1.7328596115112305,44800,560,5600
0.0006764038698747754,0.014149248600006104,1.743213415145874,45600,560,5700
0.0007570409798063338,-1.2036657333374023,1.7121312618255615,46400,560,5800
0.0007694391533732414,-0.9413272142410278,1.76616370677948,47200,561,5900
0.0005808743881061673,0.03080296516418457,1.7429245710372925,48000,561,6000
0.0007390326354652643,-0.5725646018981934,1.7546461820602417,48800,561,6100
0.11688899248838425,-0.0010323524475097656,1.7419116497039795,49600,561,6200
