#{"t_start": 1525550761.993672, "env_id": "PongNoFrameskip-v4"}
r,l,t,i
-20.0,991,9.096565,990
-20.0,990,15.840058,1980
-21.0,821,23.321985,2801
-20.0,903,31.20852,3704
-21.0,869,39.101938,4573
-19.0,1167,49.793573,5740
-21.0,788,56.863996,6528
-21.0,761,63.846517,7289
-20.0,882,71.909288,8171
-20.0,962,80.640848,9133
-20.0,928,89.042377,10061
-20.0,951,97.674564,11012
-20.0,949,106.253651,11961
-20.0,976,115.193892,12937
-21.0,954,123.87651,13891
-21.0,759,130.738493,14650
-21.0,757,137.533132,15407
-19.0,1016,146.836247,16423
-21.0,864,154.653531,17287
-21.0,929,163.075854,18216
-21.0,1017,172.259886,19233
-21.0,762,179.161609,19995
-21.0,819,186.676728,20814
-18.0,1028,195.981229,21842
-19.0,1091,205.868729,22933
-21.0,848,213.559592,23781
-21.0,839,221.177983,24620
-19.0,988,230.105256,25608
-21.0,1086,240.079637,26694
-20.0,957,248.709237,27651
-20.0,832,256.220809,28483
-20.0,839,263.780363,29322
-21.0,1004,272.871619,30326
-21.0,862,280.699171,31188
-21.0,900,288.869661,32088
-20.0,1015,298.000441,33103
-20.0,835,305.652669,33938
-20.0,958,314.273573,34896
-20.0,900,322.408391,35796
-21.0,762,329.302596,36558
-20.0,936,337.772876,37494
-21.0,760,344.65904,38254
-21.0,817,352.035585,39071
-21.0,850,359.705955,39921
-21.0,759,366.526986,40680
-21.0,817,373.908696,41497
-21.0,875,381.872833,42372
-19.0,1070,391.560255,43442
-20.0,1003,400.579222,44445
-21.0,785,407.724163,45230
-20.0,948,416.263367,46178
-20.0,878,424.275432,47056
-21.0,880,432.152535,47936
-21.0,819,439.581339,48755
-21.0,763,446.475415,49518
-19.0,1100,456.319429,50618
-19.0,1100,466.258758,51718
-21.0,818,473.655026,52536
-21.0,763,480.588247,53299
-20.0,926,489.027711,54225
-20.0,840,496.679426,55065
-21.0,846,504.389295,55911
-21.0,760,511.244961,56671
-21.0,850,518.986697,57521
-20.0,903,527.091195,58424
-21.0,926,535.541853,59350
-20.0,1016,544.823668,60366
-20.0,993,553.887269,61359
-20.0,929,562.411475,62288
-19.0,1046,571.964262,63334
-20.0,876,579.998133,64210
-21.0,782,587.136837,64992
-21.0,931,595.583557,65923
-19.0,974,604.452886,66897
-21.0,785,611.546437,67682
-21.0,957,620.296836,68639
-21.0,992,629.379894,69631
-20.0,914,637.696365,70545
-21.0,878,645.667876,71423
-20.0,1114,655.795348,72537
