total_timesteps,explained_variance,policy_entropy,value_loss,nupdates,fps
11200,0.31078386306762695,1.7813291549682617,2.6996385713573545e-05,2800,527
11600,0.741540253162384,1.7593649625778198,3.1946627132128924e-05,2900,528
12000,0.9586205184459686,1.7841366529464722,4.0536790038459e-05,3000,526
12400,0.7503464967012405,1.749715805053711,2.999044409079943e-05,3100,523
12800,0.9349823445081711,1.7128759622573853,8.792890184849966e-06,3200,520
13200,0.2099263072013855,1.754418969154358,1.583525590831414e-05,3300,517
13600,0.0007852911949157715,1.7354414463043213,0.12313329428434372,3400,515
14000,0.9063779339194298,1.7162309885025024,4.124063707422465e-05,3500,513
14400,0.910772405564785,1.6735482215881348,5.1676910516107455e-05,3600,511
14800,0.7793947458267212,1.744100570678711,0.00013094962923787534,3700,508
15200,0.8698414266109467,1.7599350214004517,3.8496156776091084e-05,3800,506
15600,0.9076828733086586,1.7741398811340332,3.928544538212009e-05,3900,504
16000,0.3903622031211853,1.7667529582977295,4.4032491132384166e-05,4000,502
16400,0.8595550954341888,1.7694237232208252,4.34465182479471e-05,4100,500
16800,0.8709687441587448,1.7539440393447876,6.012287485646084e-05,4200,498
17200,0.9333495050668716,1.7542872428894043,5.291352863423526e-05,4300,496
17600,0.9691271241754293,1.7672405242919922,6.733635382261127e-05,4400,495
18000,0.6594820320606232,1.7822904586791992,8.141618309309706e-05,4500,494
18400,0.9168389588594437,1.7877599000930786,6.364454748108983e-05,4600,493
18800,0.9023760855197906,1.7811696529388428,5.696618609363213e-05,4700,491
19200,0.023243486881256104,1.7808654308319092,5.1195038395235315e-05,4800,490
19600,0.9934673481620848,1.7808592319488525,5.686072108801454e-05,4900,489
20000,0.9885520515963435,1.7777780294418335,5.771030919277109e-05,5000,488
20400,0.5799125134944916,1.7733066082000732,4.6401699364650995e-05,5100,487
20800,0.5488422513008118,1.783609390258789,3.6938108678441495e-05,5200,486
21200,0.861344963312149,1.781435489654541,3.990095137851313e-05,5300,485
21600,0.5858411192893982,1.773836374282837,4.029608680866659e-05,5400,484
22000,-0.0002536773681640625,1.764556884765625,0.12290879338979721,5500,483
22400,0.952114887535572,1.7734291553497314,5.445982969831675e-05,5600,482
22800,0.9151102229952812,1.785623550415039,6.109721289249137e-05,5700,481
23200,0.9259751439094543,1.7665207386016846,5.9747573686763644e-05,5800,480
