#{"t_start": 1525020087.8698497, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1069,1038.787449
-19.0,1351,1044.403971
-17.0,1297,1049.667026
-17.0,1333,1055.031865
-17.0,1483,1061.02495
-21.0,976,1064.956097
-12.0,1781,1072.143193
-18.0,1284,1077.333826
-20.0,1246,1082.389292
-19.0,1337,1087.996283
-18.0,1129,1092.533401
-21.0,895,1096.121126
-20.0,1168,1100.859506
-20.0,1255,1105.910357
-16.0,1405,1111.582741
-20.0,1188,1116.410425
-21.0,1101,1120.860089
-17.0,1687,1127.64243
-19.0,1219,1132.553498
-14.0,1728,1139.511855
-19.0,1162,1144.205129
-19.0,1169,1148.928851
-14.0,1561,1155.222764
-20.0,1132,1159.807456
-18.0,1136,1164.423574
-18.0,1189,1169.419442
-18.0,1243,1174.452562
-21.0,1191,1179.246201
-17.0,1216,1184.1331
-16.0,1316,1189.432956
-20.0,1280,1194.591516
-18.0,1217,1199.504935
-18.0,1074,1203.853148
-19.0,1052,1208.287595
-20.0,1139,1212.88599
-16.0,1515,1218.977235
-17.0,1420,1224.713026
-16.0,1560,1231.008662
-19.0,1304,1236.284986
-19.0,1026,1240.43015
-19.0,1203,1245.294977
-19.0,1207,1250.431665
-17.0,1413,1256.142805
-19.0,1184,1260.934589
-17.0,1299,1266.167827
-21.0,1094,1270.547721
-19.0,1292,1275.728281
-19.0,1190,1280.532013
-18.0,1389,1286.132896
-19.0,1118,1290.685116
-18.0,1209,1295.575917
-19.0,1070,1299.976275
-21.0,1068,1304.257328
-18.0,1146,1308.886343
-19.0,1056,1313.148252
-18.0,1051,1317.373771
-20.0,1033,1321.542979
-17.0,1691,1328.589995
-19.0,1410,1334.2736
-17.0,1193,1339.078892
-19.0,1271,1344.178544
-19.0,1191,1349.013635
-20.0,1074,1353.359332
-19.0,1177,1358.139421
-18.0,1240,1363.125878
-18.0,1617,1369.87835
-17.0,1373,1375.412996
-19.0,1185,1380.223794
-20.0,1189,1385.003821
-19.0,1225,1389.944327
-18.0,1386,1395.533818
-19.0,1211,1400.408436
-20.0,1230,1405.376595
-17.0,1319,1410.708147
-16.0,1449,1416.55742
-17.0,1341,1421.975984
-19.0,1135,1426.533744
-18.0,1084,1430.889255
-19.0,1301,1436.108889
-20.0,1346,1441.511948
-18.0,1264,1446.593268
-19.0,1215,1451.465299
-18.0,1224,1456.395369
-17.0,1391,1462.001021
-18.0,1637,1468.576296
-16.0,1919,1476.298394
-18.0,1539,1482.483084
-17.0,1339,1487.860091
-19.0,1514,1494.207035
-13.0,2242,1503.273294
-16.0,1390,1508.904887
-17.0,1456,1514.796051
-16.0,1667,1521.566251
-18.0,1542,1527.820417
-19.0,1439,1533.816224
-19.0,1220,1538.665703
-18.0,1402,1544.247556
-17.0,1448,1550.007931
-16.0,1369,1555.436452
-18.0,1695,1562.176295
-14.0,2217,1570.985427
-16.0,1718,1577.819716
-14.0,1702,1584.587008
-17.0,1613,1591.045672
-19.0,1409,1596.702995
-20.0,1289,1601.853073
-18.0,1248,1606.822657
-19.0,1312,1612.289037
-15.0,1815,1619.544876
-17.0,1462,1625.380951
-17.0,1649,1631.973086
-20.0,1182,1636.706091
-17.0,1497,1642.665519
-18.0,1241,1647.631859
-18.0,1385,1653.39502
-18.0,1484,1659.285886
-20.0,1057,1663.494513
-16.0,1386,1669.035228
-15.0,1625,1675.565704
-18.0,1442,1681.349811
-19.0,1182,1686.071447
-19.0,1224,1690.961939
-16.0,1676,1697.678529
-19.0,1593,1704.055124
-17.0,1687,1710.7955
-18.0,1628,1717.334769
-20.0,1074,1721.62342
-19.0,1224,1726.503095
-19.0,1456,1732.296576
-18.0,1400,1737.908518
-12.0,1908,1745.514363
-19.0,1362,1750.94377
-17.0,1530,1757.044654
-15.0,1560,1763.261293
-14.0,1734,1770.16169
-17.0,1424,1776.113093
-16.0,1552,1782.27927
-19.0,1204,1787.070366
-20.0,1411,1792.704838
-16.0,1806,1799.896061
-17.0,1276,1804.954695
-18.0,1727,1811.841407
-14.0,1993,1819.785219
-19.0,1224,1824.654882
-14.0,1695,1831.406235
-18.0,1637,1837.923798
-21.0,1229,1842.808446
-18.0,1660,1849.4124
-15.0,1469,1855.264571
-18.0,1566,1861.496856
-16.0,1600,1867.838709
-17.0,1399,1873.436142
-15.0,1662,1880.033409
-15.0,1751,1886.984893
-16.0,1728,1894.089089
-16.0,1786,1901.19279
-19.0,1250,1906.141693
-14.0,1699,1912.88748
-14.0,2099,1921.238634
-18.0,1715,1928.071173
-18.0,1523,1934.388625
-19.0,1420,1940.040508
-13.0,2023,1948.130867
-14.0,1905,1955.749929
-16.0,1812,1962.98743
-16.0,2217,1972.114195
-14.0,1920,1979.738443
-16.0,2028,1987.81029
-16.0,1640,1994.346225
-18.0,1599,2000.719985
-18.0,1804,2007.886534
-10.0,2327,2017.385269
-17.0,1881,2024.888088
-19.0,1618,2031.32554
-18.0,1386,2036.812742
-18.0,1765,2043.841404
-17.0,1502,2049.825718
-15.0,1568,2056.327655
-20.0,1751,2063.330291
-15.0,2187,2072.056914
-16.0,1636,2078.55427
-18.0,1526,2084.598639
-17.0,1529,2090.995172
-17.0,1761,2097.986778
-16.0,1881,2105.439467
-16.0,1584,2111.721164
-15.0,1669,2118.356442
-15.0,1916,2125.972615
-19.0,1565,2132.510233
-21.0,1607,2138.900821
-15.0,1960,2146.69974
-15.0,2280,2155.747091
-13.0,2106,2164.120912
-15.0,1766,2171.143513
-17.0,1885,2178.623495
-16.0,1795,2185.727387
-19.0,1524,2191.836869
-18.0,1763,2198.855737
-19.0,1296,2203.994708
-17.0,1602,2210.348181
-16.0,1556,2216.567734
-20.0,1565,2222.812497
-16.0,1578,2229.088662
-13.0,1895,2236.629012
-18.0,1591,2242.962025
-11.0,2134,2251.45388
-15.0,1599,2257.818799
-7.0,2434,2267.475136
-16.0,1694,2274.230334
-17.0,1727,2281.111077
-14.0,1685,2287.790006
-16.0,1598,2294.410484
-16.0,1790,2301.503989
-17.0,1803,2308.669888
-11.0,1994,2316.635369
-14.0,2004,2324.590831
-16.0,2050,2333.029832
-15.0,1852,2340.407029
-15.0,1869,2347.797155
-12.0,2169,2356.402224
-10.0,2272,2365.4213
-15.0,1706,2372.524796
-15.0,1557,2378.778335
-17.0,1657,2385.356772
-8.0,2234,2394.228647
-12.0,2185,2402.889494
-17.0,1802,2410.06566
-19.0,1466,2416.252481
-13.0,2122,2424.703092
-11.0,2084,2433.021188
-15.0,2052,2441.244028
-13.0,1966,2449.053532
-15.0,1748,2456.311963
-11.0,2059,2464.508159
-16.0,2028,2472.604636
-12.0,2006,2480.574613
-9.0,2471,2490.435517
-11.0,2162,2499.34583
-11.0,2598,2509.615736
-13.0,2212,2518.399879
-10.0,2481,2528.215295
-12.0,2278,2537.666463
-15.0,2099,2545.953363
-5.0,3223,2558.728671
-9.0,2728,2569.572995
-14.0,2129,2578.347643
-14.0,2148,2586.87861
-13.0,2146,2595.441985
-15.0,2288,2604.11456
-16.0,1509,2609.708775
-15.0,1766,2616.977279
-9.0,2886,2628.261766
-15.0,1985,2636.044577
-11.0,2389,2645.413785
-9.0,2663,2655.87516
-8.0,2601,2665.501118
-14.0,1948,2672.714163
-10.0,2259,2681.075176
-16.0,2168,2689.505703
-10.0,2429,2698.972377
-9.0,2448,2708.479249
-12.0,2648,2718.715384
-3.0,3361,2731.837191
-10.0,2795,2742.146981
-11.0,2516,2751.415706
-6.0,3052,2762.672055
-14.0,1756,2769.809789
-11.0,2122,2778.041848
-14.0,2055,2786.010044
-4.0,3034,2797.794036
-10.0,2308,2807.104353
-2.0,3509,2820.710369
-7.0,2577,2830.736432
-7.0,2509,2840.500603
-6.0,3103,2852.883177
3.0,3605,2866.836917
-10.0,2967,2878.322052
-7.0,2640,2888.892283
-1.0,3543,2902.634722
-2.0,3317,2915.562902
-2.0,2976,2927.448789
-9.0,2962,2938.964821
-11.0,2171,2947.361048
-11.0,2703,2957.867614
-9.0,3049,2970.112611
-4.0,3110,2982.146924
-7.0,2628,2992.323059
2.0,3931,3007.961946
-9.0,2523,3017.699808
-2.0,3224,3030.167642
-6.0,3069,3042.439331
-4.0,3776,3057.118714
-10.0,3689,3071.471599
1.0,3537,3085.574422
-5.0,3307,3098.456546
-6.0,2931,3109.926116
-9.0,2555,3120.318942
-7.0,3002,3131.993065
2.0,3687,3146.34032
8.0,3691,3161.133642
-2.0,3825,3176.032464
5.0,3307,3188.926963
6.0,3036,3201.255182
-8.0,2978,3212.88749
-3.0,3699,3227.304226
14.0,2278,3236.603359
8.0,3202,3249.07966
4.0,2887,3260.285704
3.0,3077,3272.279254
9.0,2842,3283.807911
11.0,2900,3295.110147
1.0,3483,3308.708447
8.0,3096,3321.194269
9.0,3069,3333.148656
9.0,2757,3343.931301
7.0,3262,3357.05971
13.0,2610,3367.210385
11.0,2841,3378.246952
6.0,3484,3391.799822
15.0,2142,3400.731935
15.0,2544,3410.678268
11.0,2857,3421.827706
10.0,2399,3431.189676
2.0,3339,3444.604055
13.0,2453,3454.201862
11.0,2750,3464.922959
4.0,2950,3476.8678
15.0,2682,3487.365359
16.0,2377,3496.646941
10.0,2919,3508.045012
11.0,2760,3519.268891
-6.0,2468,3528.862262
13.0,2585,3538.921105
16.0,2149,3547.243061
9.0,2959,3559.231113
7.0,3260,3571.921311
14.0,2334,3580.970503
16.0,2149,3589.268749
10.0,2578,3599.791671
15.0,2230,3607.998975
15.0,2012,3615.384333
20.0,1865,3622.239588
15.0,2250,3631.130096
17.0,2288,3639.99441
16.0,2141,3648.325417
17.0,2372,3657.514844
10.0,2971,3669.540284
21.0,1646,3675.917231
20.0,1707,3682.562169
13.0,2287,3691.427116
8.0,3399,3704.612954
14.0,2391,3714.363446
17.0,2114,3722.570565
17.0,1843,3729.724804
19.0,1971,3737.359768
12.0,2475,3747.384113
14.0,2692,3757.284541
15.0,2026,3764.835574
17.0,2416,3773.824354
13.0,2780,3784.798476
18.0,1948,3792.436976
17.0,2144,3801.013663
17.0,2035,3809.427345
11.0,2167,3818.512055
18.0,2051,3827.344818
20.0,1737,3834.499042
19.0,2030,3842.917364
19.0,1965,3851.078562
20.0,1967,3859.239621
17.0,1925,3867.654542
18.0,2054,3875.771282
18.0,1875,3883.154518
17.0,2062,3891.20858
20.0,1872,3898.695896
13.0,2439,3908.921391
18.0,1914,3916.814128
21.0,1750,3924.051873
21.0,1695,3931.189278
20.0,1742,3938.387057
21.0,1701,3945.427023
19.0,1872,3953.42365
21.0,1688,3960.072005
20.0,1664,3966.590833
20.0,1746,3973.430102
20.0,1787,3980.41706
20.0,1728,3987.211434
21.0,1689,3994.415965
21.0,1690,4001.033355
20.0,1661,4007.546849
20.0,1734,4014.372733
20.0,1712,4021.083045
20.0,1768,4028.611817
20.0,1678,4035.318009
20.0,1692,4041.924043
20.0,1752,4048.487779
20.0,1690,4054.77743
21.0,1768,4061.337987
20.0,1700,4068.324363
20.0,1660,4075.120198
20.0,1719,4082.171782
19.0,1991,4090.36766
19.0,1904,4098.196512
19.0,1787,4105.540174
20.0,1665,4112.531439
20.0,1663,4118.731545
20.0,1671,4125.07064
20.0,1714,4131.747793
21.0,1697,4138.372999
18.0,2171,4146.862954
20.0,1669,4153.999791
19.0,1838,4161.203772
21.0,1693,4167.847505
21.0,1693,4174.522153
20.0,1671,4181.074552
18.0,2002,4189.438084
20.0,1693,4196.055267
20.0,1670,4202.5495
19.0,1845,4209.396071
18.0,1915,4216.542593
17.0,1829,4223.370413
20.0,1667,4230.368824
18.0,1770,4237.384744
21.0,1693,4244.04945
20.0,1686,4250.704873
19.0,1824,4257.93482
20.0,1662,4264.496719
19.0,1732,4271.610773
20.0,1753,4278.161335
20.0,1657,4284.657749
21.0,1755,4291.644575
19.0,1802,4298.773793
20.0,1721,4306.147276
18.0,1969,4314.347502
21.0,1644,4321.207541
21.0,1808,4328.705358
20.0,1787,4336.138037
21.0,1646,4342.958101
20.0,1753,4350.678719
18.0,1866,4358.050275
20.0,1791,4364.964464
19.0,1816,4371.769519
21.0,1648,4377.930216
20.0,1887,4385.00216
21.0,1644,4392.309173
14.0,2322,4401.935565
21.0,1690,4408.95477
20.0,1733,4416.178259
20.0,1725,4423.358992
19.0,1907,4431.610224
21.0,1755,4438.170303
20.0,1669,4444.872881
19.0,1995,4453.145362
21.0,1644,4459.989976
19.0,1713,4467.129614
19.0,1968,4475.873598
20.0,1762,4483.156414
21.0,1645,4489.957974
20.0,1822,4497.455027
19.0,1789,4504.920683
20.0,1663,4512.430938
20.0,1659,4519.315881
20.0,1681,4526.263727
21.0,1692,4532.95265
19.0,1783,4540.006327
19.0,1835,4547.273345
20.0,1779,4554.959386
20.0,1666,4561.876224
19.0,1776,4569.226099
19.0,1795,4576.636263
19.0,1780,4583.973354
19.0,1940,4591.983748
20.0,1770,4599.375919
19.0,1803,4606.212766
21.0,1694,4612.92808
20.0,1761,4619.955384
20.0,1754,4626.866833
18.0,1978,4635.348459
21.0,1770,4642.669375
21.0,1769,4650.014454
20.0,1739,4657.216509
21.0,1693,4664.202225
18.0,1971,4672.340667
21.0,1689,4679.347453
20.0,1779,4686.717298
19.0,1753,4693.951213
21.0,1648,4700.785855
21.0,1645,4707.698085
20.0,1976,4716.085606
21.0,1693,4723.253061
19.0,1877,4731.164159
21.0,1692,4738.343848
19.0,1721,4745.616535
21.0,1709,4752.97789
21.0,1730,4760.261995
20.0,1743,4767.705991
21.0,1695,4774.868186
21.0,1694,4781.990124
19.0,1811,4789.600444
20.0,1780,4797.11332
19.0,1877,4805.031562
18.0,2234,4814.462046
19.0,1860,4822.4708
