total_timesteps,explained_variance,value_loss,fps,nupdates,policy_entropy
6520000,0.2648378610610962,0.09719568490982056,772,16300,1.6969937086105347
6560000,0.0876193642616272,0.36746612191200256,770,16400,1.7331002950668335
6600000,0.09104472398757935,0.1293172687292099,768,16500,1.7220884561538696
6640000,0.3648330569267273,0.07266774773597717,767,16600,1.726258397102356
6680000,0.022273719310760498,0.2679431140422821,767,16700,1.730818510055542
6720000,-0.1203082799911499,0.10444875061511993,768,16800,1.7059365510940552
6760000,0.2430770993232727,0.17234106361865997,768,16900,1.701361894607544
6800000,0.037947773933410645,0.10817299038171768,768,17000,1.7133888006210327
6840000,0.1839684247970581,0.20837830007076263,768,17100,1.6885113716125488
6880000,0.37368422746658325,0.09117204695940018,767,17200,1.6945687532424927
6920000,0.5601208508014679,0.1962594985961914,765,17300,1.6920760869979858
6960000,0.155350923538208,0.23274807631969452,763,17400,1.6807472705841064
7000000,-0.10236072540283203,0.1813645362854004,762,17500,1.6712489128112793
7040000,-0.08634364604949951,0.1420467644929886,760,17600,1.6370320320129395
7080000,0.199729323387146,0.13024722039699554,758,17700,1.6662946939468384
7120000,0.10607326030731201,0.05771104246377945,757,17800,1.6662955284118652
7160000,0.2519986629486084,0.0547194704413414,755,17900,1.622937798500061
7200000,0.2568039894104004,0.22324126958847046,754,18000,1.6633856296539307
7240000,0.34681761264801025,0.1326344758272171,752,18100,1.6557568311691284
7280000,0.21011823415756226,0.15604838728904724,751,18200,1.574333667755127
7320000,0.3399946093559265,0.131229966878891,749,18300,1.6283142566680908
7360000,0.21624475717544556,0.10199455916881561,748,18400,1.671820878982544
7400000,0.1259082555770874,0.3188888132572174,746,18500,1.6584997177124023
7440000,0.1068030595779419,0.051081396639347076,745,18600,1.6232455968856812
7480000,0.5239598453044891,0.10798642039299011,744,18700,1.628781795501709
7520000,-0.04780316352844238,0.14231066405773163,742,18800,1.6270736455917358
7560000,0.16692322492599487,0.06571760773658752,741,18900,1.6084010601043701
7600000,0.3651789426803589,0.1443631947040558,740,19000,1.6511813402175903
7640000,0.4353829026222229,0.08028869330883026,738,19100,1.6376277208328247
7680000,0.1537373661994934,0.07821211963891983,737,19200,1.658621072769165
7720000,0.2778414487838745,0.13565745949745178,736,19300,1.6307793855667114
7760000,0.00801318883895874,0.12200451642274857,735,19400,1.639532446861267
7800000,0.12836694717407227,0.12625256180763245,734,19500,1.6213293075561523
7840000,0.1415644884109497,0.12280416488647461,732,19600,1.600346326828003
7880000,0.47542452812194824,0.05080708488821983,731,19700,1.5991020202636719
7920000,0.24769288301467896,0.14199796319007874,730,19800,1.6109211444854736
7960000,0.21256887912750244,0.0990496277809143,729,19900,1.6073397397994995
8000000,0.37752169370651245,0.0372447595000267,728,20000,1.6354546546936035
8040000,0.22308015823364258,0.08057507872581482,727,20100,1.5857282876968384
8080000,0.26243042945861816,0.18996649980545044,726,20200,1.6278059482574463
8120000,-0.03852832317352295,0.07366301864385605,725,20300,1.614439845085144
8160000,0.3744041323661804,0.11929609626531601,723,20400,1.601561427116394
8200000,-0.06404924392700195,0.10594490170478821,722,20500,1.6216992139816284
8240000,0.07860350608825684,0.13044938445091248,721,20600,1.658544659614563
8280000,0.2995890974998474,0.03020436316728592,719,20700,1.5360618829727173
8320000,0.10992062091827393,0.20356234908103943,718,20800,1.530647873878479
8360000,0.035423994064331055,0.22055783867835999,717,20900,1.607210397720337
8400000,0.23047584295272827,0.09666839241981506,716,21000,1.5976605415344238
8440000,0.4451829195022583,0.13255417346954346,716,21100,1.619839072227478
8480000,0.31088513135910034,0.09083050489425659,715,21200,1.5872992277145386
8520000,0.11085242033004761,0.09129554033279419,714,21300,1.5410363674163818
8560000,0.4522802233695984,0.062087949365377426,713,21400,1.5718541145324707
8600000,0.26870739459991455,0.10874663293361664,712,21500,1.5593491792678833
8640000,0.1238972544670105,0.09491875767707825,711,21600,1.5852961540222168
8680000,0.022089600563049316,0.17189337313175201,711,21700,1.5794858932495117
8720000,0.2920689582824707,0.05333118513226509,710,21800,1.5690336227416992
8760000,0.5048673152923584,0.024552352726459503,709,21900,1.5948596000671387
8800000,0.21675139665603638,0.06603337079286575,708,22000,1.5390455722808838
8840000,0.4129852056503296,0.027786945924162865,707,22100,1.5473490953445435
8880000,0.10162991285324097,0.19927869737148285,707,22200,1.5406527519226074
8920000,0.1997327208518982,0.09235856682062149,706,22300,1.5465925931930542
8960000,0.5860435962677002,0.13023358583450317,705,22400,1.6158140897750854
9000000,0.20618164539337158,0.11039130389690399,704,22500,1.570268988609314
9040000,-0.0023856163024902344,0.08110441267490387,704,22600,1.5769609212875366
9080000,0.31434500217437744,0.05393807962536812,703,22700,1.5984256267547607
9120000,-0.0002745389938354492,0.059777092188596725,702,22800,1.5806629657745361
9160000,0.11300301551818848,0.20252807438373566,701,22900,1.5889256000518799
9200000,0.5705434083938599,0.09363705664873123,701,23000,1.5308518409729004
9240000,0.4522216320037842,0.1091422364115715,700,23100,1.583504319190979
9280000,0.29366934299468994,0.09268688410520554,699,23200,1.5519741773605347
9320000,0.41648513078689575,0.08752934634685516,698,23300,1.5390704870224
9360000,0.4705711603164673,0.09132459759712219,698,23400,1.5592176914215088
9400000,0.6082076132297516,0.09090536087751389,697,23500,1.5926237106323242
9440000,0.058808743953704834,0.05928957462310791,696,23600,1.6288542747497559
9480000,0.48773467540740967,0.06008441746234894,696,23700,1.5520942211151123
9520000,0.7378654479980469,0.025035949423909187,695,23800,1.5945963859558105
9560000,0.3979054093360901,0.062420111149549484,694,23900,1.62410306930542
9600000,0.5458590388298035,0.0200515016913414,694,24000,1.581915259361267
9640000,0.45984500646591187,0.107567697763443,693,24100,1.5759958028793335
9680000,0.09852349758148193,0.21873867511749268,693,24200,1.6443578004837036
9720000,0.28841108083724976,0.052574239671230316,692,24300,1.5805102586746216
9760000,0.29521644115448,0.0700278952717781,691,24400,1.5776095390319824
9800000,0.4566938877105713,0.10225067287683487,691,24500,1.5367705821990967
9840000,0.19930726289749146,0.1529686152935028,690,24600,1.6367565393447876
9880000,0.5224103033542633,0.08531683683395386,689,24700,1.5260467529296875
9920000,0.46805280447006226,0.031012946739792824,688,24800,1.566967487335205
9960000,0.32340317964553833,0.06739357113838196,687,24900,1.5287840366363525
10000000,0.52962526679039,0.0483257882297039,686,25000,1.6042182445526123
10040000,0.5320786237716675,0.06092875823378563,685,25100,1.6003178358078003
10080000,0.2871752977371216,0.05297696217894554,685,25200,1.6266818046569824
10120000,0.33436352014541626,0.06899923086166382,684,25300,1.5656236410140991
10160000,0.5417094528675079,0.07571364939212799,684,25400,1.574681043624878
10200000,0.10345804691314697,0.16119417548179626,683,25500,1.5846279859542847
10240000,0.1975611448287964,0.14521759748458862,683,25600,1.5218207836151123
10280000,0.30943799018859863,0.15644922852516174,682,25700,1.5487585067749023
10320000,0.2536526918411255,0.1401750147342682,682,25800,1.5879929065704346
10360000,0.45335716009140015,0.09644997864961624,681,25900,1.5501211881637573
10400000,0.5130790770053864,0.033191245049238205,681,26000,1.5730617046356201
10440000,-0.006854057312011719,0.18777355551719666,680,26100,1.619165301322937
10480000,0.7120730578899384,0.01727454736828804,680,26200,1.5927668809890747
10520000,0.5128032863140106,0.06280345469713211,679,26300,1.6022582054138184
10560000,0.326557457447052,0.16764196753501892,679,26400,1.5927925109863281
10600000,0.40426361560821533,0.07623324543237686,678,26500,1.5967334508895874
10640000,0.31512272357940674,0.061079178005456924,678,26600,1.6325860023498535
10680000,0.3237432837486267,0.0649791732430458,677,26700,1.591715693473816
10720000,0.42893046140670776,0.08181571215391159,677,26800,1.5827605724334717
10760000,0.3085799217224121,0.03144786134362221,676,26900,1.584455966949463
10800000,0.18007761240005493,0.13393250107765198,676,27000,1.5903270244598389
10840000,0.28379374742507935,0.06806132197380066,675,27100,1.597774863243103
10880000,0.18825292587280273,0.12644459307193756,675,27200,1.6055225133895874
10920000,0.666713535785675,0.04987417533993721,674,27300,1.5971760749816895
10960000,0.06783908605575562,0.051566820591688156,674,27400,1.606968879699707
11000000,0.27378177642822266,0.10104699432849884,673,27500,1.6319911479949951
