#{"t_start": 1525575737.4753225, "env_id": "PongNoFrameskip-v4"}
r,l,t,i
-21.0,775,12.991738,774
-20.0,995,17.890274,1769
-21.0,825,21.999507,2594
-21.0,761,25.723699,3355
-19.0,970,30.532559,4325
-19.0,1027,35.578625,5352
-21.0,847,39.728024,6199
-19.0,1176,45.496706,7375
-20.0,893,49.984132,8268
-20.0,836,54.051754,9104
-20.0,899,58.50121,10003
-20.0,959,63.333969,10962
-19.0,1055,68.542597,12017
-20.0,957,73.358596,12974
-21.0,840,77.53094,13814
-19.0,1044,82.697916,14858
-21.0,788,86.713756,15646
-19.0,980,91.615735,16626
-20.0,954,96.455517,17580
-20.0,1006,101.465414,18586
-19.0,988,106.348948,19574
-20.0,902,110.95304,20476
-21.0,822,114.980527,21298
-19.0,1372,121.928793,22670
-18.0,1129,127.483742,23799
-20.0,941,132.149375,24740
-21.0,1005,137.087065,25745
-20.0,942,141.702145,26687
-20.0,1042,146.839203,27729
-20.0,896,151.343469,28625
-21.0,843,155.433623,29468
-21.0,846,159.677814,30314
-21.0,903,164.0407,31217
-21.0,779,167.840455,31996
-21.0,847,171.976315,32843
-20.0,942,176.61764,33785
-21.0,850,180.898316,34635
-20.0,944,185.518886,35579
-20.0,1096,190.807784,36675
-21.0,786,194.673624,37461
-19.0,975,199.532707,38436
-19.0,971,204.390552,39407
-21.0,921,209.038532,40328
-21.0,959,213.731602,41287
-20.0,1062,219.028723,42349
-21.0,824,223.127497,43173
-21.0,764,226.917392,43937
-21.0,762,230.723129,44699
-19.0,1052,235.918807,45751
-20.0,973,240.737276,46724
-21.0,880,245.227754,47604
-20.0,929,249.804612,48533
-21.0,882,254.20692,49415
-20.0,868,258.467738,50283
-19.0,1065,263.757282,51348
-21.0,817,267.798753,52165
-20.0,940,272.377513,53105
-20.0,1059,277.685393,54164
-21.0,789,281.625022,54953
-20.0,926,286.184743,55879
-21.0,821,290.213525,56700
-20.0,937,294.843662,57637
-19.0,938,299.405054,58575
-20.0,837,303.492725,59412
-19.0,1086,308.822693,60498
-21.0,788,312.690586,61286
-20.0,842,316.767947,62128
-20.0,843,320.897214,62971
-20.0,836,324.974915,63807
-21.0,842,329.135699,64649
-21.0,780,332.987078,65429
-21.0,853,337.171138,66282
-21.0,833,341.2915,67115
-21.0,885,345.654238,68000
-21.0,822,349.732806,68822
-21.0,848,353.94232,69670
-19.0,960,358.710884,70630
-21.0,843,362.87017,71473
-20.0,958,367.656168,72431
-21.0,786,371.553856,73217
-19.0,1141,377.14645,74358
-19.0,915,381.728573,75273
-20.0,924,386.195907,76197
-21.0,782,390.062198,76979
-21.0,925,394.713342,77904
-21.0,823,398.742949,78727
-21.0,911,403.237991,79638
-21.0,1027,408.203603,80665
-21.0,825,412.256538,81490
-21.0,849,416.351985,82339
-20.0,864,420.581666,83203
-20.0,838,424.653408,84041
-21.0,849,428.881388,84890
-21.0,819,432.950209,85709
-20.0,962,437.605652,86671
-19.0,1018,442.674477,87689
-20.0,917,447.124908,88606
-21.0,788,450.967991,89394
-21.0,810,454.995735,90204
-19.0,982,459.833404,91186
-21.0,788,463.797793,91974
-21.0,967,468.695072,92941
-21.0,990,473.630523,93931
-20.0,901,478.026206,94832
-21.0,865,482.352451,95697
-20.0,836,486.519685,96533
-20.0,904,491.031946,97437
-20.0,970,495.85911,98407
-18.0,1072,501.243324,99479
-20.0,881,505.669103,100360
-21.0,822,509.741528,101182
-21.0,940,514.412097,102122
-20.0,838,518.683518,102960
-21.0,837,522.89122,103797
-21.0,791,526.887208,104588
-21.0,839,530.982353,105427
-21.0,847,535.24229,106274
-21.0,971,540.05942,107245
-21.0,905,544.538328,108150
-19.0,993,549.492077,109143
-21.0,785,553.336054,109928
-21.0,823,557.344475,110751
-20.0,956,562.078156,111707
-19.0,1046,567.125352,112753
-20.0,901,571.515074,113654
-21.0,787,575.451856,114441
-21.0,913,580.026533,115354
-19.0,1055,585.319245,116409
-20.0,881,589.731777,117290
-20.0,840,593.865692,118130
-21.0,929,598.443671,119059
