value_loss,policy_entropy,total_timesteps,explained_variance,nupdates,fps
0.04760228469967842,1.6026579141616821,9240000,-0.23090136051177979,46200,792
0.03599022328853607,1.4922655820846558,9260000,0.6424412429332733,46300,792
0.04576411843299866,1.622392177581787,9280000,0.44608086347579956,46400,792
0.19818858802318573,1.4452722072601318,9300000,0.5814041495323181,46500,792
0.04300929233431816,1.597486972808838,9320000,0.6215121448040009,46600,792
0.050441112369298935,1.6140670776367188,9340000,0.7835778295993805,46700,792
0.016877129673957825,1.602465033531189,9360000,0.6498560607433319,46800,792
0.04871854931116104,1.5835239887237549,9380000,0.450130820274353,46900,792
0.013438008725643158,1.5311341285705566,9400000,0.915402315557003,47000,792
0.03479933366179466,1.5761076211929321,9420000,0.787961408495903,47100,792
0.025755658745765686,1.5252853631973267,9440000,0.8379803448915482,47200,793
0.05454287678003311,1.6314419507980347,9460000,0.7611555606126785,47300,793
0.07860018312931061,1.5148379802703857,9480000,0.3462338447570801,47400,793
0.07066452503204346,1.5587267875671387,9500000,0.6177344024181366,47500,793
0.04369664564728737,1.5643333196640015,9520000,0.7862253934144974,47600,793
0.024958668276667595,1.5441999435424805,9540000,0.7697165161371231,47700,793
0.03961992636322975,1.5865908861160278,9560000,0.34181469678878784,47800,793
0.025382349267601967,1.5601059198379517,9580000,0.8232516646385193,47900,793
0.17721153795719147,1.5155918598175049,9600000,-1.405426025390625,48000,793
0.05136621370911598,1.6088420152664185,9620000,0.8489142507314682,48100,793
0.005151864141225815,1.5945756435394287,9640000,0.9425072111189365,48200,793
0.01017720252275467,1.543764591217041,9660000,0.8154128789901733,48300,793
0.008142394945025444,1.6207386255264282,9680000,0.881562128663063,48400,793
0.009573133662343025,1.5808771848678589,9700000,0.908294215798378,48500,793
0.0069047920405864716,1.672755241394043,9720000,0.929880790412426,48600,793
0.006508026737719774,1.679486870765686,9740000,0.9017406478524208,48700,793
0.04806767404079437,1.6020824909210205,9760000,0.7280343174934387,48800,793
0.014945471659302711,1.6256369352340698,9780000,0.9127217680215836,48900,793
0.02950568124651909,1.606865644454956,9800000,0.7987389117479324,49000,793
0.0708269476890564,1.6101521253585815,9820000,0.7964446097612381,49100,793
0.0762125551700592,1.6148099899291992,9840000,0.8030525594949722,49200,793
0.01610342413187027,1.547898292541504,9860000,0.9097008407115936,49300,793
0.06255786865949631,1.5293585062026978,9880000,0.20350855588912964,49400,793
0.025661645457148552,1.6131211519241333,9900000,0.6128506064414978,49500,793
0.03540860489010811,1.5463310480117798,9920000,0.4700213074684143,49600,793
0.00639212504029274,1.6212152242660522,9940000,0.887290708720684,49700,793
0.029593734070658684,1.5924547910690308,9960000,0.9095622226595879,49800,793
0.09334230422973633,1.5886504650115967,9980000,0.5487793385982513,49900,793
0.03040577471256256,1.5949163436889648,10000000,0.6592399477958679,50000,793
0.008159641176462173,1.6733450889587402,10020000,0.9552245512604713,50100,793
0.020213807001709938,1.6218533515930176,10040000,0.8619248867034912,50200,793
0.014444176107645035,1.6790868043899536,10060000,0.9132660627365112,50300,793
0.11559468507766724,1.67228364944458,10080000,0.5418421030044556,50400,793
0.0023472278844565153,1.4956966638565063,10100000,0.925946868956089,50500,793
0.12794792652130127,1.5943267345428467,10120000,0.5627604424953461,50600,793
0.0655362606048584,1.6599901914596558,10140000,0.7931970506906509,50700,793
0.006990088615566492,1.5180281400680542,10160000,0.6998013854026794,50800,793
0.0345580130815506,1.5686402320861816,10180000,0.836122065782547,50900,793
0.009182794019579887,1.5891444683074951,10200000,0.8775501176714897,51000,793
0.014835668727755547,1.6275725364685059,10220000,0.7917062938213348,51100,793
0.032112907618284225,1.6359254121780396,10240000,0.7510762065649033,51200,793
0.03393864259123802,1.5968519449234009,10260000,0.6303646564483643,51300,793
0.08119290322065353,1.632423996925354,10280000,0.23798614740371704,51400,793
0.0025033042766153812,1.712751030921936,10300000,0.9818894099444151,51500,793
0.06464239954948425,1.6768358945846558,10320000,-0.06335175037384033,51600,793
0.06432458758354187,1.6174010038375854,10340000,0.5670051574707031,51700,792
0.060653701424598694,1.5998623371124268,10360000,0.6284790337085724,51800,792
0.007893314585089684,1.6686253547668457,10380000,0.9728430584073067,51900,791
0.01494185347110033,1.6183520555496216,10400000,0.8112586736679077,52000,790
0.2161678522825241,1.669886589050293,10420000,-3.0463075637817383,52100,789
0.044033341109752655,1.5932828187942505,10440000,0.8225619792938232,52200,789
0.022962912917137146,1.4886382818222046,10460000,0.614051103591919,52300,788
0.04902121052145958,1.6453278064727783,10480000,0.21618443727493286,52400,787
0.008392182178795338,1.635201096534729,10500000,0.7889485955238342,52500,787
0.019997986033558846,1.576319932937622,10520000,0.8408079296350479,52600,786
0.0031521720811724663,1.560228705406189,10540000,0.9461140930652618,52700,785
0.02184068039059639,1.5770872831344604,10560000,0.6946688890457153,52800,785
0.013376610353589058,1.647774338722229,10580000,0.9403454139828682,52900,784
0.05506965517997742,1.520894169807434,10600000,0.7023962438106537,53000,784
0.006081689149141312,1.5932101011276245,10620000,0.9043436050415039,53100,783
0.004773897118866444,1.5833096504211426,10640000,0.9016286879777908,53200,782
0.0044757598079741,1.635482668876648,10660000,0.9212242066860199,53300,782
0.08744415640830994,1.6451654434204102,10680000,-1.040820837020874,53400,781
