#{"t_start": 1525570103.3591247, "env_id": "PongNoFrameskip-v4"}
r,l,t,i
-21.0,898,14.49193,897
-21.0,867,18.887477,1764
-20.0,974,23.927233,2738
-20.0,927,28.692596,3665
-20.0,961,33.575498,4626
-21.0,788,37.621927,5414
-21.0,1198,43.7605,6612
-19.0,973,48.767242,7585
-21.0,778,52.773126,8363
-20.0,989,57.897967,9352
-21.0,929,62.713361,10281
-20.0,1024,67.959369,11305
-21.0,764,71.883183,12069
-20.0,859,76.291918,12928
-21.0,757,80.192879,13685
-21.0,821,84.430769,14506
-20.0,972,89.473948,15478
-21.0,777,93.485985,16255
-20.0,981,98.505614,17236
-21.0,760,102.418509,17996
-20.0,1015,107.610087,19011
-17.0,1120,113.319049,20131
-19.0,1101,118.960913,21232
-20.0,926,123.722975,22158
-21.0,898,128.340922,23056
-19.0,933,133.020786,23989
-19.0,1065,138.452948,25054
-20.0,1137,144.26158,26191
-21.0,848,148.610096,27039
-20.0,955,153.568156,27994
-21.0,937,158.305203,28931
-20.0,973,163.267064,29904
-20.0,920,168.00288,30824
-20.0,913,172.694647,31737
-21.0,1047,178.112142,32784
-20.0,991,183.134937,33775
-21.0,1045,188.465465,34820
-20.0,833,192.689559,35653
-21.0,942,197.534969,36595
-20.0,946,202.345835,37541
-21.0,818,206.583613,38359
-21.0,848,210.966476,39207
-20.0,1102,216.565757,40309
-21.0,761,220.475176,41070
-21.0,997,225.552788,42067
-21.0,929,230.222498,42996
-20.0,1072,235.691431,44068
-20.0,1073,241.13781,45141
-20.0,1093,246.731281,46234
-19.0,930,251.517351,47164
-21.0,824,255.670214,47988
-20.0,834,259.929668,48822
-20.0,835,264.210932,49657
-21.0,787,268.216687,50444
-21.0,791,272.32836,51235
-21.0,821,276.512052,52056
-21.0,780,280.561091,52836
-19.0,948,285.308381,53784
-19.0,1250,291.779553,55034
-21.0,909,296.423924,55943
-21.0,849,300.862472,56792
-19.0,1109,306.56379,57901
-21.0,760,310.446713,58661
-21.0,821,314.709447,59482
-21.0,825,318.895252,60307
-20.0,895,323.464368,61202
-21.0,787,327.564887,61989
-20.0,1104,333.114324,63093
-21.0,762,337.00693,63855
-21.0,761,340.948128,64616
-21.0,763,344.870408,65379
-19.0,988,350.011464,66367
-20.0,897,354.758825,67264
-21.0,777,358.733706,68041
-20.0,895,363.216673,68936
-21.0,758,367.123697,69694
-20.0,860,371.538815,70554
-20.0,896,376.066154,71450
-20.0,870,380.563972,72320
-21.0,759,384.405356,73079
-21.0,884,388.965949,73963
-20.0,899,393.640564,74862
-21.0,853,398.008107,75715
-20.0,1002,403.062063,76717
-20.0,949,407.939205,77666
-19.0,1067,413.535949,78733
-21.0,910,418.270863,79643
-19.0,1013,423.495707,80656
-21.0,879,427.992556,81535
-20.0,878,432.471636,82413
-21.0,989,437.460749,83402
-20.0,1004,442.54767,84406
-21.0,806,446.644303,85212
-19.0,1114,452.276957,86326
-21.0,846,456.540063,87172
-19.0,1010,461.675255,88182
-19.0,1055,467.000883,89237
-20.0,856,471.300021,90093
-21.0,788,475.21575,90881
-21.0,968,480.092061,91849
-21.0,819,484.232104,92668
-20.0,1036,489.499618,93704
-21.0,911,494.087941,94615
-19.0,1089,499.519017,95704
-21.0,818,503.70756,96522
-19.0,1147,509.539064,97669
-20.0,926,514.266061,98595
-21.0,984,519.21966,99579
-21.0,788,523.177408,100367
-21.0,960,528.120844,101327
-19.0,998,533.229575,102325
-21.0,824,537.411998,103149
-21.0,836,541.718822,103985
-21.0,932,546.421545,104917
-21.0,960,551.315742,105877
-21.0,912,555.945863,106789
-20.0,1034,561.15281,107823
-21.0,848,565.474476,108671
-21.0,780,569.423614,109451
-21.0,944,574.189555,110395
-21.0,909,578.781133,111304
-21.0,818,582.919381,112122
-21.0,913,587.488688,113035
-19.0,992,592.471209,114027
-20.0,1036,597.641842,115063
-20.0,926,602.246952,115989
-18.0,1176,608.224416,117165
-21.0,851,612.450672,118016
-20.0,859,616.771497,118875
-20.0,831,621.006258,119706
-20.0,1138,626.633814,120844
-21.0,822,630.872423,121666
-20.0,1113,636.459765,122779
-21.0,927,641.184015,123706
-21.0,790,645.178392,124496
-21.0,808,649.27396,125304
-21.0,879,653.693167,126183
-20.0,1085,659.110926,127268
-21.0,935,663.759634,128203
-19.0,959,668.59995,129162
-20.0,835,672.776424,129997
-19.0,929,677.433267,130926
-21.0,866,681.837125,131792
-20.0,1049,687.203928,132841
-19.0,995,692.355658,133836
-21.0,977,697.275095,134813
-20.0,865,701.750142,135678
-21.0,820,705.952528,136498
-20.0,1021,711.117463,137519
-20.0,1070,716.615088,138589
-18.0,1064,722.063723,139653
-21.0,903,726.720228,140556
-21.0,789,730.845332,141345
-21.0,758,734.677669,142103
-21.0,835,738.996471,142938
-20.0,836,743.250256,143774
-21.0,928,747.979707,144702
-21.0,903,752.536765,145605
-20.0,970,757.503597,146575
-19.0,1061,762.885826,147636
-17.0,1129,768.62493,148765
-21.0,884,773.165747,149649
-21.0,836,777.412861,150485
-21.0,833,781.626801,151318
-21.0,900,786.198364,152218
-20.0,865,790.547779,153083
-19.0,1065,796.046156,154148
-21.0,779,800.007707,154927
-20.0,873,804.419044,155800
-21.0,909,809.074632,156709
-21.0,993,814.163558,157702
-19.0,1072,819.675245,158774
-20.0,919,824.497561,159693
-21.0,807,828.698488,160500
-21.0,1057,834.122841,161557
-19.0,991,839.16412,162548
-21.0,845,843.516657,163393
-20.0,901,848.14207,164294
-21.0,839,852.453503,165133
-21.0,792,856.4979,165925
-21.0,788,860.518258,166713
-21.0,778,864.481278,167491
-20.0,836,868.768477,168327
-20.0,982,873.77714,169309
-20.0,836,878.093414,170145
-19.0,1001,883.253185,171146
-21.0,788,887.324576,171934
-18.0,1206,893.470494,173140
-20.0,913,898.135804,174053
-19.0,1060,903.533462,175113
-20.0,1013,908.744152,176126
-20.0,958,913.634797,177084
-21.0,824,917.830582,177908
-20.0,926,922.557111,178834
-21.0,780,926.583348,179614
-20.0,902,931.193921,180516
-21.0,787,935.256575,181303
-20.0,840,939.547548,182143
-21.0,785,943.549907,182928
-21.0,846,947.9348,183774
-21.0,757,951.770757,184531
-21.0,841,956.091393,185372
-21.0,823,960.267636,186195
-21.0,1181,966.321057,187376
-20.0,842,970.623938,188218
-20.0,863,975.022923,189081
-21.0,789,979.094968,189870
-21.0,779,983.034127,190649
-21.0,877,987.548205,191526
-20.0,888,992.064306,192414
-19.0,952,996.865148,193366
-21.0,1144,1002.807231,194510
-21.0,817,1007.045266,195327
-20.0,1085,1012.606508,196412
-21.0,849,1016.998586,197261
-21.0,818,1021.114901,198079
-21.0,804,1025.173345,198883
