nupdates,value_loss,fps,policy_entropy,explained_variance,total_timesteps
337200,0.0011900232639163733,708,2.8692002296447754,0.9796357788145542,6744000
337300,0.061692845076322556,708,2.8723666667938232,0.12294250726699829,6746000
337400,0.006141177844256163,708,2.857731580734253,0.9792617280036211,6748000
337500,0.011247000657022,708,2.8823180198669434,0.9318087249994278,6750000
337600,0.0012743601109832525,708,2.87506103515625,0.9884458063170314,6752000
337700,0.07691816240549088,708,2.876805305480957,0.5878953635692596,6754000
337800,0.024345582351088524,708,2.8709073066711426,0.7034845650196075,6756000
337900,0.006101488135755062,708,2.8839809894561768,0.9684044942259789,6758000
338000,0.008427385240793228,708,2.883664608001709,0.8182916641235352,6760000
338100,0.01591496542096138,708,2.874638795852661,0.9585086889564991,6762000
338200,0.04851479455828667,708,2.8659560680389404,0.8500852435827255,6764000
338300,0.0835661068558693,708,2.8714115619659424,0.22383207082748413,6766000
338400,0.0009792055934667587,708,2.87560772895813,0.9900642270222306,6768000
338500,0.014630885794758797,708,2.8345513343811035,0.9666249006986618,6770000
338600,0.003626056481152773,708,2.8656935691833496,0.9798777103424072,6772000
338700,0.011512301862239838,708,2.8500256538391113,0.9570655077695847,6774000
338800,0.0007855400326661766,708,2.8486132621765137,0.9345792457461357,6776000
338900,0.012095971964299679,708,2.881220817565918,0.9598230645060539,6778000
339000,0.0045577483251690865,708,2.8810365200042725,0.839049756526947,6780000
339100,0.0031119410414248705,708,2.8766469955444336,0.9904238423332572,6782000
339200,0.09539444744586945,708,2.7909770011901855,0.5203917920589447,6784000
339300,0.002729404252022505,708,2.8831589221954346,0.9780648946762085,6786000
339400,0.04655199125409126,708,2.8699543476104736,0.7390286326408386,6788000
339500,0.0017166826874017715,708,2.8604495525360107,0.674372673034668,6790000
339600,0.07094116508960724,708,2.8817052841186523,0.8695781975984573,6792000
339700,0.005287405103445053,708,2.7349724769592285,0.9147779643535614,6794000
339800,0.008232963271439075,708,2.8776745796203613,0.9717741645872593,6796000
339900,0.026884526014328003,708,2.8517351150512695,0.9280753135681152,6798000
340000,0.009932116605341434,708,2.8858749866485596,0.9260252192616463,6800000
340100,0.001570013351738453,708,2.885885715484619,0.9515322335064411,6802000
340200,0.0017434473847970366,708,2.88616943359375,0.7639227211475372,6804000
340300,0.006458907388150692,708,2.8870365619659424,0.8965477421879768,6806000
340400,0.002149685751646757,708,2.883988857269287,0.9875336401164532,6808000
340500,0.011329743079841137,708,2.881680727005005,0.9497014917433262,6810000
340600,0.022700726985931396,708,2.8814797401428223,0.9632047079503536,6812000
340700,0.005808589514344931,708,2.8748526573181152,0.9597633928060532,6814000
340800,0.0037886318750679493,708,2.8860538005828857,0.9667112678289413,6816000
340900,0.04057824984192848,708,2.8782525062561035,0.9212165102362633,6818000
341000,0.011976302601397038,708,2.882232189178467,0.9447965361177921,6820000
341100,0.0029436897020787,708,2.8627209663391113,0.9544109404087067,6822000
341200,0.01733151450753212,708,2.8786909580230713,0.8552613258361816,6824000
341300,0.0021942681632936,708,2.8522582054138184,0.5191397964954376,6826000
341400,0.022038958966732025,708,2.8832907676696777,0.8780508041381836,6828000
341500,0.06552813947200775,708,2.880502939224243,0.8847251906991005,6830000
341600,0.005682843737304211,708,2.879013776779175,0.9332856684923172,6832000
341700,0.011095499619841576,708,2.875450849533081,0.9252998307347298,6834000
341800,0.01280664186924696,708,2.8656165599823,0.9524164907634258,6836000
341900,0.008033105172216892,708,2.8845295906066895,0.9332056418061256,6838000
342000,0.02074434421956539,708,2.868295669555664,0.8853191956877708,6840000
342100,0.10155980288982391,704,2.870159864425659,0.8359230905771255,6842000
342200,0.021804068237543106,704,2.8632333278656006,0.9343819096684456,6844000
342300,0.00722750136628747,704,2.885995864868164,0.9543741382658482,6846000
342400,0.0021463490556925535,704,2.8772692680358887,0.9897869378328323,6848000
342500,0.07323701679706573,704,2.844158172607422,0.8557356595993042,6850000
342600,0.011807500384747982,704,2.863368272781372,0.9739250056445599,6852000
342700,0.0005025747232139111,704,2.8770956993103027,0.9569264017045498,6854000
342800,0.002750877756625414,704,2.847707509994507,0.4178195595741272,6856000
342900,0.028607893735170364,704,2.870680093765259,0.9343721494078636,6858000
343000,0.07755734026432037,703,2.867971897125244,0.8129026740789413,6860000
343100,0.05572197958827019,703,2.872896909713745,0.613183468580246,6862000
343200,0.0012747608125209808,703,2.870439052581787,0.9239798933267593,6864000
343300,0.00499915424734354,703,2.882661819458008,0.7621179968118668,6866000
343400,0.002160019939765334,703,2.8862061500549316,0.878227025270462,6868000
343500,0.002302809152752161,703,2.8735153675079346,0.9982474136631936,6870000
343600,0.014463013038039207,703,2.882305860519409,0.9372580200433731,6872000
343700,0.0025742067955434322,703,2.78387188911438,0.9914249991998076,6874000
343800,0.007508584763854742,703,2.840552806854248,0.9509176276624203,6876000
343900,0.0006424174644052982,703,2.8826820850372314,0.9928772686980665,6878000
344000,0.005798941478133202,703,2.8807029724121094,0.965520154684782,6880000
344100,0.0008546875906176865,703,2.8835434913635254,0.9925598339177668,6882000
344200,0.034351564943790436,703,2.8369009494781494,0.7943636626005173,6884000
344300,0.010154714807868004,703,2.7497401237487793,0.9423720501363277,6886000
344400,0.009299253113567829,703,2.8391313552856445,0.959691621363163,6888000
344500,0.0014207737985998392,703,2.87794828414917,0.993432782124728,6890000
344600,0.14367499947547913,703,2.753725528717041,0.42313045263290405,6892000
344700,0.010015231557190418,703,2.8837974071502686,0.8964507356286049,6894000
344800,0.006308354437351227,703,2.8597731590270996,0.6421356499195099,6896000
344900,0.0024395582731813192,703,2.855720043182373,0.9814054034650326,6898000
345000,0.011542334221303463,703,2.871166706085205,0.2549822926521301,6900000
345100,0.0031239876989275217,703,2.8812079429626465,0.9728799574077129,6902000
345200,0.00913195125758648,703,2.879351854324341,0.7399343252182007,6904000
345300,0.0036446168087422848,703,2.8822274208068848,0.9705298598855734,6906000
345400,0.004561123438179493,703,2.865670680999756,0.9208236858248711,6908000
345500,0.002356609795242548,703,2.846527338027954,0.9173609837889671,6910000
345600,0.04732110723853111,703,2.882620334625244,0.7530871480703354,6912000
345700,0.0012951927492395043,703,2.881645441055298,0.7588544934988022,6914000
345800,0.0014973609941080213,703,2.8794474601745605,0.9818233270198107,6916000
345900,0.007219965569674969,703,2.873061180114746,0.982372896745801,6918000
