fps,nupdates,total_timesteps,value_loss,policy_entropy,explained_variance
772,22500,450000,0.0803280919790268,1.6372325420379639,0.9816695507615805
772,22600,452000,0.16340522468090057,1.618107557296753,0.9700253196060658
772,22700,454000,0.2759612202644348,1.839893102645874,0.9272924959659576
772,22800,456000,2.026294469833374,1.6330795288085938,0.7293384671211243
772,22900,458000,0.4164963662624359,1.9251457452774048,0.9515327699482441
772,23000,460000,0.27515292167663574,1.6028223037719727,0.9851272599771619
772,23100,462000,0.38041046261787415,1.4888930320739746,0.6260679066181183
772,23200,464000,0.3381516933441162,1.518532395362854,0.9447600804269314
772,23300,466000,0.05357407405972481,2.052258253097534,0.2188962697982788
772,23400,468000,2.843855142593384,2.0571837425231934,0.6103043258190155
772,23500,470000,0.0017466846620664,2.163433313369751,0.923231951892376
772,23600,472000,0.05148453265428543,2.047339677810669,0.9233116284012794
772,23700,474000,0.2386031448841095,2.044982671737671,0.741493284702301
772,23800,476000,0.12177393585443497,1.6846126317977905,0.9317491874098778
772,23900,478000,0.16830408573150635,1.3532984256744385,0.27835702896118164
772,24000,480000,0.19714316725730896,1.5452779531478882,0.8644108474254608
772,24100,482000,0.030240368098020554,1.8898729085922241,0.9972146463114768
772,24200,484000,0.13447001576423645,1.678850769996643,0.9088213071227074
772,24300,486000,0.0541529543697834,1.90371835231781,0.9920592131093144
773,24400,488000,0.09412325918674469,1.6169490814208984,0.9692456144839525
773,24500,490000,0.005290915258228779,2.133620500564575,0.9195622205734253
773,24600,492000,0.13179266452789307,2.061394453048706,0.9659082926809788
773,24700,494000,0.04119228571653366,1.8636817932128906,0.9808779712766409
773,24800,496000,0.013792184181511402,2.023851156234741,0.995974968187511
773,24900,498000,0.36577942967414856,1.7252922058105469,0.8034468591213226
773,25000,500000,0.02275426685810089,1.2561249732971191,0.9343532398343086
773,25100,502000,0.06525588780641556,1.5921367406845093,0.9876774810254574
773,25200,504000,0.4307788014411926,1.4116401672363281,0.9334407150745392
773,25300,506000,0.04199586063623428,1.7808914184570312,0.9921433655545115
773,25400,508000,0.009431930258870125,2.0022995471954346,0.9714341182261705
773,25500,510000,0.09570963680744171,1.9798977375030518,0.8807242810726166
773,25600,512000,0.1143808513879776,1.4756362438201904,0.9642842300236225
773,25700,514000,0.13833585381507874,1.5949327945709229,0.9689536709338427
773,25800,516000,0.06486669927835464,1.298692226409912,0.9890144756063819
