#{"t_start": 1525533006.1854763, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t,i
110.0,426,4.55477,425
160.0,445,6.8643,870
180.0,507,9.535039,1377
270.0,452,11.891396,1829
120.0,497,14.502132,2326
300.0,433,16.718074,2759
250.0,429,18.970897,3188
240.0,548,21.807798,3736
220.0,417,24.00648,4153
110.0,403,26.076203,4556
270.0,449,28.463575,5005
260.0,449,30.746942,5454
510.0,531,33.488707,5985
490.0,496,36.015943,6481
390.0,342,37.79853,6823
650.0,780,41.771392,7603
590.0,686,45.307171,8289
330.0,652,48.72865,8941
910.0,660,52.09664,9601
340.0,500,54.698015,10101
900.0,756,58.696314,10857
1170.0,790,62.745714,11647
430.0,728,66.46981,12375
190.0,474,68.935662,12849
430.0,676,72.423603,13525
540.0,744,76.302259,14269
340.0,689,79.861576,14958
410.0,547,82.704842,15505
160.0,459,85.087325,15964
490.0,612,88.247436,16576
650.0,1019,93.497387,17595
340.0,673,96.958054,18268
400.0,622,100.194032,18890
430.0,640,103.520862,19530
330.0,719,107.289562,20249
330.0,684,110.835123,20933
440.0,516,113.582005,21449
580.0,548,116.411318,21997
520.0,652,119.852264,22649
570.0,666,123.294536,23315
420.0,685,126.869374,24000
170.0,373,128.839113,24373
230.0,425,131.004163,24798
1190.0,619,134.144947,25417
910.0,773,138.181254,26190
540.0,532,140.882229,26722
610.0,655,144.334332,27377
360.0,584,147.350342,27961
610.0,612,150.531213,28573
810.0,804,154.669237,29377
430.0,553,157.56395,29930
170.0,339,159.260425,30269
2160.0,916,163.984885,31185
380.0,497,166.578304,31682
60.0,252,167.832634,31934
220.0,452,170.157115,32386
840.0,544,172.934752,32930
280.0,561,175.799299,33491
280.0,392,177.771508,33883
1010.0,586,180.78345,34469
260.0,439,182.993467,34908
660.0,669,186.369975,35577
260.0,424,188.55729,36001
280.0,517,191.164881,36518
1870.0,647,194.420019,37165
340.0,576,197.332743,37741
350.0,554,200.19655,38295
230.0,371,202.063278,38666
460.0,623,205.262166,39289
680.0,722,208.924971,40011
490.0,540,211.699804,40551
240.0,537,214.398031,41088
240.0,532,217.118384,41620
310.0,656,220.518586,42276
280.0,668,223.957988,42944
490.0,604,227.054666,43548
290.0,380,228.980771,43928
290.0,678,232.452612,44606
550.0,788,236.417277,45394
300.0,500,239.016091,45894
570.0,972,244.000816,46866
320.0,631,247.242596,47497
360.0,480,249.750016,47977
70.0,251,251.060443,48228
260.0,427,253.230798,48655
870.0,574,256.138478,49229
500.0,607,259.244141,49836
200.0,361,261.134745,50197
250.0,426,263.335496,50623
270.0,551,266.183277,51174
170.0,420,268.371764,51594
270.0,322,270.054612,51916
170.0,497,272.590402,52413
470.0,575,275.507116,52988
170.0,433,277.769984,53421
270.0,452,280.136499,53873
310.0,488,282.682118,54361
580.0,724,286.42502,55085
290.0,514,289.092072,55599
890.0,643,292.379788,56242
1040.0,699,296.037256,56941
200.0,452,298.367292,57393
1020.0,717,302.000432,58110
240.0,435,304.244979,58545
400.0,619,307.452533,59164
170.0,435,309.754523,59599
300.0,425,311.955745,60024
780.0,606,315.090162,60630
200.0,370,317.032121,61000
140.0,300,318.587659,61300
660.0,659,321.973686,61959
360.0,686,325.490596,62645
460.0,638,328.783808,63283
900.0,740,332.584147,64023
440.0,542,335.303621,64565
400.0,527,338.065751,65092
310.0,457,340.403827,65549
250.0,398,342.417355,65947
770.0,797,346.502145,66744
860.0,750,350.315876,67494
220.0,341,352.087786,67835
260.0,367,353.975271,68202
280.0,469,356.387285,68671
280.0,482,358.859596,69153
340.0,467,361.269058,69620
270.0,414,363.394978,70034
350.0,495,365.934872,70529
280.0,402,367.983874,70931
390.0,441,370.182266,71372
260.0,458,372.565125,71830
720.0,728,376.253904,72558
390.0,417,378.380276,72975
270.0,464,380.853383,73439
580.0,695,384.355443,74134
1050.0,1022,389.59021,75156
340.0,475,392.022125,75631
750.0,664,395.350409,76295
330.0,507,397.92743,76802
330.0,400,399.962878,77202
530.0,586,403.000607,77788
180.0,334,404.694996,78122
830.0,792,408.850457,78914
410.0,498,411.40844,79412
490.0,593,414.494118,80005
280.0,507,417.10993,80512
1050.0,891,421.741047,81403
700.0,612,424.890658,82015
650.0,811,429.134912,82826
340.0,449,431.460491,83275
380.0,561,434.393005,83836
500.0,512,437.013837,84348
540.0,688,440.536797,85036
720.0,700,444.152258,85736
430.0,431,446.385237,86167
1250.0,786,450.427262,86953
490.0,614,453.595322,87567
260.0,380,455.533399,87947
230.0,352,457.361881,88299
2000.0,676,460.852906,88975
930.0,857,465.226228,89832
640.0,572,468.182803,90404
970.0,748,472.032532,91152
400.0,489,474.525962,91641
1240.0,722,478.266563,92363
470.0,493,480.773598,92856
1540.0,777,484.730495,93633
290.0,412,486.812841,94045
290.0,393,488.779609,94438
490.0,444,491.019871,94882
450.0,470,493.44646,95352
670.0,713,497.144371,96065
540.0,455,499.426725,96520
1460.0,798,503.493621,97318
840.0,775,507.5616,98093
370.0,527,510.300992,98620
410.0,430,512.495445,99050
250.0,474,514.966981,99524
1070.0,631,518.201762,100155
890.0,798,522.301949,100953
1230.0,619,525.482479,101572
340.0,521,528.184334,102093
410.0,551,531.033146,102644
340.0,518,533.75581,103162
280.0,471,536.158755,103633
260.0,474,538.587026,104107
620.0,643,541.947735,104750
420.0,535,544.656465,105285
590.0,588,547.699944,105873
400.0,467,550.121646,106340
440.0,601,553.202386,106941
450.0,516,555.892833,107457
470.0,546,558.741571,108003
310.0,453,561.070813,108456
370.0,521,563.756165,108977
2180.0,581,566.802246,109558
550.0,600,569.941308,110158
310.0,403,571.979843,110561
560.0,532,574.715833,111093
360.0,455,577.035899,111548
700.0,609,580.16627,112157
970.0,805,584.331078,112962
1060.0,562,587.249595,113524
1440.0,720,590.999342,114244
920.0,465,593.377209,114709
810.0,563,596.277872,115272
390.0,393,598.339261,115665
330.0,432,600.497191,116097
250.0,362,602.352863,116459
390.0,471,604.716313,116930
1340.0,697,608.29901,117627
310.0,488,610.833304,118115
1580.0,1020,616.117331,119135
310.0,545,618.839125,119680
610.0,634,622.087286,120314
1060.0,542,624.894593,120856
880.0,705,628.474174,121561
380.0,501,631.097716,122062
520.0,588,634.061709,122650
730.0,731,637.729071,123381
460.0,550,640.523343,123931
480.0,576,643.439666,124507
750.0,534,646.185878,125041
420.0,443,648.407574,125484
570.0,841,652.615503,126325
380.0,527,655.262853,126852
1100.0,666,658.615702,127518
650.0,637,661.827177,128155
870.0,609,664.899256,128764
470.0,411,666.973617,129175
900.0,912,671.610054,130087
630.0,646,674.898459,130733
780.0,658,678.221991,131391
360.0,448,680.459798,131839
700.0,742,684.265937,132581
850.0,605,687.252982,133186
580.0,633,690.446022,133819
1150.0,760,694.318744,134579
1460.0,895,698.82035,135474
1410.0,788,702.820375,136262
510.0,549,705.586929,136811
370.0,548,708.38356,137359
1210.0,678,711.780239,138037
580.0,673,715.222056,138710
410.0,484,717.697749,139194
1130.0,620,720.892548,139814
340.0,368,722.753177,140182
300.0,490,725.290758,140672
450.0,489,727.720273,141161
560.0,547,730.555248,141708
1090.0,1102,736.16507,142810
470.0,447,738.492854,143257
2340.0,819,742.683222,144076
1330.0,648,746.010846,144724
1050.0,893,750.577775,145617
380.0,523,753.203635,146140
1780.0,868,757.575429,147008
2610.0,781,761.524529,147789
720.0,665,764.962509,148454
1400.0,721,768.699552,149175
210.0,418,770.814401,149593
900.0,685,774.31269,150278
490.0,676,777.674746,150954
330.0,446,779.931289,151400
1270.0,958,784.849297,152358
1520.0,684,788.368817,153042
1050.0,787,792.415046,153829
680.0,650,795.672327,154479
1040.0,662,799.040993,155141
740.0,828,803.210037,155969
1130.0,638,806.505575,156607
1480.0,691,810.006528,157298
860.0,756,813.864878,158054
470.0,452,816.144882,158506
570.0,553,818.941758,159059
1090.0,946,823.724097,160005
590.0,490,826.19673,160495
610.0,670,829.602346,161165
360.0,376,831.48915,161541
600.0,544,834.265646,162085
1090.0,667,837.69165,162752
670.0,612,840.911561,163364
710.0,596,843.9893,163960
930.0,636,847.267813,164596
